league,season,team,player,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
ENG-Premier League,2425,Bournemouth,Julio Soler,ARG,"DF,FW",20-097,2005,0.1,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0
ENG-Premier League,2425,Bournemouth,Justin Kluivert,NED,"MF,FW",26-019,1999,25.0,21,9,4,10,7,4,22,18.2,18,24,0,24,13,34,23,1
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-233,1994,30.0,1,0,1,0,0,0,2,0.0,2,2,0,2,0,1,15,3
ENG-Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",28-110,1997,33.1,81,42,41,36,4,37,67,55.2,30,30,11,19,41,122,70,0
ENG-Premier League,2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25-341,1999,2.6,7,2,3,2,2,0,4,0.0,4,3,0,3,1,8,8,0
ENG-Premier League,2425,Bournemouth,Marcos Senesi,ARG,DF,28-014,1997,11.4,36,21,23,11,2,14,30,46.7,16,15,7,8,11,47,56,0
ENG-Premier League,2425,Bournemouth,Marcus Tavernier,ENG,"FW,MF",26-063,1999,20.6,43,24,15,19,9,10,26,38.5,16,16,3,13,5,48,11,0
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,26-006,1999,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0
ENG-Premier League,2425,Bournemouth,Max Aarons,ENG,DF,25-140,2000,1.0,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0
ENG-Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,21-198,2003,36.1,52,26,25,20,7,24,38,63.2,14,37,11,26,45,97,104,4
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35-309,1989,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
ENG-Premier League,2425,Bournemouth,Philip Billing,DEN,MF,28-347,1996,2.0,14,5,7,6,1,3,4,75.0,1,3,0,3,5,19,2,0
ENG-Premier League,2425,Bournemouth,Remy Rees-Dottin,ENG,FW,19-079,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,30-091,1995,23.5,54,33,19,27,8,27,64,42.2,37,44,11,33,30,84,51,3
ENG-Premier League,2425,Bournemouth,Tyler Adams,USA,MF,26-099,1999,20.8,81,49,25,49,7,39,72,54.2,33,33,10,23,32,113,41,0
ENG-Premier League,2425,Bournemouth,Zain Silcott-Duberry,MSR,FW,19-319,2005,0.0,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Brentford,Ben Mee,ENG,DF,35-245,1989,2.0,2,2,0,2,0,1,1,100.0,0,3,3,0,4,6,7,0
ENG-Premier League,2425,Brentford,Bryan Mbeumo,CMR,FW,25-290,1999,36.9,45,29,17,14,14,18,32,56.3,14,24,3,21,14,59,53,1
ENG-Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,31-075,1994,30.3,76,46,35,34,7,45,74,60.8,29,52,20,32,48,124,67,1
ENG-Premier League,2425,Brentford,Edmond-Paris Maghoma,ENG,"MF,FW",24-016,2001,1.3,2,1,0,2,0,1,3,33.3,2,2,2,0,1,3,2,0
ENG-Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31-360,1993,21.3,35,19,15,16,4,13,24,54.2,11,29,18,11,24,59,142,4
ENG-Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",22-267,2002,5.1,13,9,4,4,5,6,13,46.2,7,6,1,5,3,16,2,0
ENG-Premier League,2425,Brentford,Frank Onyeka,NGA,MF,27-143,1998,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Gustavo Nunes,BRA,"FW,MF",19-185,2005,0.1,3,2,2,0,1,2,2,100.0,0,0,0,0,0,3,2,0
ENG-Premier League,2425,Brentford,Hákon Rafn Valdimarsson,ISL,GK,23-223,2001,1.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
ENG-Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18-330,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,FW",24-091,2001,33.4,46,26,25,15,6,28,46,60.9,18,27,10,17,19,65,73,3
ENG-Premier League,2425,Brentford,Kevin Schade,GER,FW,23-178,2001,24.6,36,23,14,10,12,12,21,57.1,9,19,4,15,5,41,33,0
ENG-Premier League,2425,Brentford,Kim Jisoo,KOR,DF,20-151,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
ENG-Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,27-037,1998,15.9,26,18,14,11,1,14,27,51.9,13,17,4,13,12,38,50,0
ENG-Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25-334,1999,12.2,18,8,14,3,1,11,28,39.3,17,12,5,7,4,22,35,0
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31-345,1993,35.4,4,4,4,0,0,3,9,33.3,6,2,0,2,0,4,26,4
ENG-Premier League,2425,Brentford,Mathias Jensen,DEN,MF,29-143,1996,9.5,14,10,6,6,2,8,16,50.0,8,13,4,9,8,22,13,1
ENG-Premier League,2425,Brentford,Michael Kayode,ITA,DF,20-318,2004,4.9,15,10,11,4,0,9,13,69.2,4,3,0,3,5,20,17,0
ENG-Premier League,2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24-325,2000,31.5,81,44,27,28,26,30,77,39.0,47,39,2,37,26,107,30,2
ENG-Premier League,2425,Brentford,Nathan Collins,IRL,DF,24-024,2001,37.0,39,23,23,12,4,22,35,62.9,13,76,56,20,34,73,221,3
ENG-Premier League,2425,Brentford,Rico Henry,ENG,DF,27-320,1997,1.1,2,2,1,0,1,0,4,0.0,4,4,1,3,1,3,2,0
ENG-Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,22-073,2003,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
ENG-Premier League,2425,Brentford,Sepp van den Berg,NED,DF,23-155,2001,27.7,38,23,24,10,4,18,27,66.7,9,51,37,14,21,59,127,3
ENG-Premier League,2425,Brentford,Thiago,BRA,"FW,MF",23-332,2001,1.8,5,3,2,1,2,0,1,0.0,1,3,0,3,2,7,2,1
ENG-Premier League,2425,Brentford,Vitaly Janelt,GER,MF,27-014,1998,25.0,38,22,14,13,11,21,36,58.3,15,33,9,24,27,65,53,1
ENG-Premier League,2425,Brentford,Yehor Yarmoliuk,UKR,MF,21-084,2004,15.1,45,26,18,20,7,27,51,52.9,24,25,8,17,13,58,33,0
ENG-Premier League,2425,Brentford,Yoane Wissa,COD,FW,28-263,1996,31.4,22,12,6,8,8,11,27,40.7,16,29,8,21,8,30,21,3
ENG-Premier League,2425,Brentford,Yunus Emre Konak,TUR,"FW,MF",19-134,2006,0.5,4,4,0,4,0,1,2,50.0,1,2,0,2,0,4,0,0
ENG-Premier League,2425,Brighton,Adam Webster,ENG,DF,30-140,1995,8.9,10,6,5,4,1,6,14,42.9,8,13,9,4,19,29,39,2
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,22-279,2002,35.0,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,29,5
ENG-Premier League,2425,Brighton,Billy Gilmour,SCO,MF,23-347,2001,1.1,3,3,2,1,0,3,4,75.0,1,1,0,1,0,3,1,0
ENG-Premier League,2425,Brighton,Brajan Gruda,GER,"MF,FW",20-358,2004,6.8,14,6,6,5,3,7,14,50.0,7,8,0,8,2,16,5,1
ENG-Premier League,2425,Brighton,Carlos Baleba,CMR,MF,21-141,2004,28.6,76,43,26,34,16,47,78,60.3,31,46,11,35,44,120,44,1
ENG-Premier League,2425,Brighton,Danny Welbeck,ENG,FW,34-179,1990,23.5,26,16,6,15,5,8,20,40.0,12,19,4,15,5,31,14,0
ENG-Premier League,2425,Brighton,Diego Gómez,PAR,MF,22-058,2003,5.2,20,12,11,7,2,12,22,54.5,10,13,0,13,8,28,10,1
ENG-Premier League,2425,Brighton,Eiran Cashin,IRL,DF,23-196,2001,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
ENG-Premier League,2425,Brighton,Evan Ferguson,IRL,FW,20-217,2004,2.7,4,3,0,3,1,2,5,40.0,3,3,1,2,0,4,4,0
ENG-Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25-229,1999,4.3,10,6,4,5,1,6,15,40.0,9,2,2,0,8,18,17,0
ENG-Premier League,2425,Brighton,Georginio Rutter,FRA,"MF,FW",23-034,2002,18.4,39,15,13,18,8,14,36,38.9,22,20,3,17,10,49,13,2
ENG-Premier League,2425,Brighton,Harry Howell,ENG,FW,16-237,2008,0.1,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,0,0
ENG-Premier League,2425,Brighton,Igor,BRA,DF,27-106,1998,10.0,4,4,2,1,1,4,10,40.0,6,23,14,9,4,8,39,1
ENG-Premier League,2425,Brighton,Jack Hinshelwood,ENG,"DF,MF",20-043,2005,19.5,26,18,8,10,8,11,27,40.7,16,8,3,5,16,42,37,1
ENG-Premier League,2425,Brighton,Jakub Moder,POL,MF,26-047,1999,0.1,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,3,0
ENG-Premier League,2425,Brighton,James Milner,ENG,MF,39-140,1986,1.9,5,2,1,3,1,3,3,100.0,0,4,2,2,2,7,2,1
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24-350,2000,31.9,44,29,23,19,2,22,40,55.0,18,35,21,14,24,68,140,2
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,34-279,1990,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22-342,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,João Pedro,BRA,"FW,MF",23-240,2001,21.6,16,12,6,6,4,4,11,36.4,7,12,0,12,9,25,12,0
ENG-Premier League,2425,Brighton,Joël Veltman,NED,DF,33-129,1992,18.5,42,28,23,16,3,30,51,58.8,21,22,7,15,18,60,66,0
ENG-Premier League,2425,Brighton,Julio Enciso,PAR,"MF,FW",21-121,2004,3.3,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,1,0
ENG-Premier League,2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",28-004,1997,28.4,44,26,15,13,16,19,48,39.6,29,48,3,45,13,57,10,0
