league,season,team,player,nation,position,age,born_year,90s,goals,shoots,shoots_on_target,perc_shoots_on_target,shoots_90s,shoots_on_target_90s,goals_over_shoots,goals_over_shoots_on_target,average_shot_distance,shoots_free_kicks,penalties_scored,penalties_attempted,xG,no_penalty_xG,no_penalty_xg_over_shoots,goals_xG_difference,no_penalties_goals_xG_difference
Premier League,2425,Bournemouth,Daniel Jebbison,ENG,FW,21,2003.0,1.0,1,4,2,50.0,3.96,1.98,0.25,0.5,9.9,0,0,0,1.0,1.0,0.24,0.0,0.0
Premier League,2425,Bournemouth,David Brooks,WAL,"FW,MF",27,1997.0,10.0,2,22,10,45.5,2.2,1.0,0.09,0.2,16.8,0,0,0,2.2,2.2,0.1,-0.2,-0.2
Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,20,2005.0,26.8,3,18,3,16.7,0.67,0.11,0.17,1.0,11.9,0,0,0,1.9,1.9,0.1,1.1,1.1
Premier League,2425,Bournemouth,Enes Ünal,TUR,"FW,MF",28,1997.0,3.8,2,20,7,35.0,5.22,1.83,0.1,0.29,14.6,3,0,0,2.7,2.7,0.14,-0.7,-0.7
Premier League,2425,Bournemouth,Evanilson,BRA,FW,25,1999.0,24.8,10,70,31,44.3,2.83,1.25,0.14,0.32,13.0,0,0,1,12.2,11.4,0.16,-2.2,-1.4
Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,22,2002.0,33.5,0,11,1,9.1,0.33,0.03,0.0,0.0,10.1,0,0,0,1.1,1.1,0.1,-1.1,-1.1
Premier League,2425,Bournemouth,James Hill,ENG,DF,23,2002.0,5.0,0,6,0,0.0,1.21,0.0,0.0,0.0,13.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Premier League,2425,Bournemouth,Julian Araujo,MEX,DF,23,2001.0,5.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Bournemouth,Julio Soler,ARG,"DF,FW",20,2005.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Bournemouth,Justin Kluivert,NED,"MF,FW",26,1999.0,25.0,12,56,23,41.1,2.24,0.92,0.11,0.26,19.9,0,6,6,10.3,5.6,0.1,1.7,0.4
Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30,1994.0,30.0,0,1,0,0.0,0.03,0.0,0.0,0.0,9.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",28,1997.0,33.1,1,14,4,28.6,0.42,0.12,0.07,0.25,23.4,1,0,0,0.9,0.9,0.07,0.1,0.1
Premier League,2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25,1999.0,2.6,1,13,6,46.2,4.96,2.29,0.08,0.17,14.8,0,0,0,1.2,1.2,0.09,-0.2,-0.2
Premier League,2425,Bournemouth,Marcos Senesi,ARG,DF,28,1997.0,11.4,0,3,0,0.0,0.26,0.0,0.0,0.0,7.9,0,0,0,0.8,0.8,0.28,-0.8,-0.8
Premier League,2425,Bournemouth,Marcus Tavernier,ENG,"FW,MF",26,1999.0,20.6,3,52,15,28.8,2.53,0.73,0.06,0.2,20.7,4,0,0,5.3,5.3,0.1,-2.3,-2.3
Premier League,2425,Bournemouth,Mark Travers,IRL,GK,26,1999.0,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Bournemouth,Max Aarons,ENG,DF,25,2000.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,21,2003.0,36.1,2,18,5,27.8,0.5,0.14,0.11,0.4,20.0,0,0,0,0.5,0.5,0.03,1.5,1.5
Premier League,2425,Bournemouth,Neto,BRA,GK,35,1989.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Bournemouth,Philip Billing,DEN,MF,28,1996.0,2.0,0,5,1,20.0,2.45,0.49,0.0,0.0,17.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6
Premier League,2425,Bournemouth,Remy Rees-Dottin,ENG,FW,19,2006.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,30,1995.0,23.5,2,33,12,36.4,1.4,0.51,0.06,0.17,19.6,0,0,0,1.8,1.8,0.06,0.2,0.2
Premier League,2425,Bournemouth,Tyler Adams,USA,MF,26,1999.0,20.8,0,8,2,25.0,0.38,0.1,0.0,0.0,16.1,0,0,0,1.6,1.6,0.19,-1.6,-1.6
Premier League,2425,Bournemouth,Zain Silcott-Duberry,MSR,FW,19,2005.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Brentford,Ben Mee,ENG,DF,35,1989.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Brentford,Bryan Mbeumo,CMR,FW,25,1999.0,36.9,19,77,33,42.9,2.08,0.89,0.18,0.42,17.8,6,5,6,12.0,7.3,0.09,7.0,6.7
Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,31,1994.0,30.3,5,37,13,35.1,1.22,0.43,0.14,0.38,13.9,0,0,0,4.2,4.2,0.12,0.8,0.8
Premier League,2425,Brentford,Edmond-Paris Maghoma,ENG,"MF,FW",24,2001.0,1.3,0,1,0,0.0,0.76,0.0,0.0,0.0,23.8,0,0,0,0.1,0.1,0.12,-0.1,-0.1
Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31,1993.0,21.3,2,10,6,60.0,0.47,0.28,0.2,0.33,11.1,0,0,0,1.1,1.1,0.11,0.9,0.9
Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",22,2002.0,5.1,2,12,5,41.7,2.37,0.99,0.17,0.4,14.7,0,0,0,2.5,2.5,0.21,-0.5,-0.5
Premier League,2425,Brentford,Frank Onyeka,NGA,MF,27,1998.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Brentford,Gustavo Nunes,BRA,"FW,MF",19,2005.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Brentford,Hákon Rafn Valdimarsson,ISL,GK,23,2001.0,1.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18,2006.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,FW",24,2001.0,33.4,1,27,14,51.9,0.81,0.42,0.04,0.07,20.5,1,0,0,2.6,2.6,0.09,-1.6,-1.6
Premier League,2425,Brentford,Kevin Schade,GER,FW,23,2001.0,24.6,11,53,25,47.2,2.15,1.02,0.21,0.44,11.4,0,0,0,8.1,8.1,0.15,2.9,2.9
Premier League,2425,Brentford,Kim Jisoo,KOR,DF,20,2004.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,27,1998.0,15.9,0,8,3,37.5,0.5,0.19,0.0,0.0,10.2,0,0,0,0.8,0.8,0.1,-0.8,-0.8
Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25,1999.0,12.2,0,5,2,40.0,0.41,0.16,0.0,0.0,20.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Premier League,2425,Brentford,Mark Flekken,NED,GK,31,1993.0,35.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Brentford,Mathias Jensen,DEN,MF,29,1996.0,9.5,0,6,1,16.7,0.63,0.11,0.0,0.0,23.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Premier League,2425,Brentford,Michael Kayode,ITA,DF,20,2004.0,4.9,0,2,0,0.0,0.41,0.0,0.0,0.0,16.8,0,0,0,0.2,0.2,0.1,-0.2,-0.2
Premier League,2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24,2000.0,31.5,2,35,7,20.0,1.11,0.22,0.06,0.29,17.6,3,0,0,2.8,2.8,0.08,-0.8,-0.8
Premier League,2425,Brentford,Nathan Collins,IRL,DF,24,2001.0,37.0,2,17,6,35.3,0.46,0.16,0.12,0.33,10.7,0,0,0,2.5,2.5,0.15,-0.5,-0.5
Premier League,2425,Brentford,Rico Henry,ENG,DF,27,1997.0,1.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,22,2003.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
