league,season,team,player,nation,position,age,born_year,90s,passes_attempted,play_passes,fk_passes,free_kicks_passes,through_ball_passes,switches_passes,crosses_passes,throw_ins_passes,corner_kicks_passes,inswinging_corner_kicks,outswinging_corner_kicks,straight_corner_kicks,passes_completed,passes_offside,passes_blocked_by_rival
Ligue 1,2425,Lyon,Ainsley Maitland-Niles,ENG,DF,27,1997.0,22.1,1234,1051,176,17,4,7,48,148,11,7,2,0,1049,7,28
Ligue 1,2425,Lyon,Alejandro Rodriguez,POR,MF,17,2008.0,0.2,2,2,0,0,0,0,1,0,0,0,0,0,1,0,1
Ligue 1,2425,Lyon,Alexandre Lacazette,FRA,FW,33,1991.0,22.8,547,510,33,0,4,7,17,1,0,0,0,0,393,4,20
Ligue 1,2425,Lyon,Clinton Mata,ANG,DF,32,1992.0,26.3,1636,1517,116,58,0,3,38,49,0,0,0,0,1448,3,13
Ligue 1,2425,Lyon,Corentin Tolisso,FRA,MF,30,1994.0,25.9,1602,1527,71,40,5,13,32,27,1,1,0,0,1359,4,41
Ligue 1,2425,Lyon,Duje Ćaleta-Car,CRO,DF,28,1996.0,17.6,985,939,45,28,1,3,1,3,0,0,0,0,896,1,5
Ligue 1,2425,Lyon,Ernest Nuamah,GHA,"FW,MF",21,2003.0,11.7,448,432,14,1,2,1,30,5,8,4,3,0,358,2,18
Ligue 1,2425,Lyon,Georges Mikautadze,GEO,FW,24,2000.0,16.1,426,406,17,1,4,3,9,3,0,0,0,0,326,3,14
Ligue 1,2425,Lyon,Gift Orban,NGA,"FW,DF",22,2002.0,2.1,33,30,3,0,0,0,1,1,1,0,0,0,22,0,4
Ligue 1,2425,Lyon,Jordan Veretout,FRA,MF,32,1993.0,17.3,944,905,38,13,1,6,26,6,8,8,0,0,792,1,14
Ligue 1,2425,Lyon,Lucas Perri,BRA,GK,27,1997.0,33.0,1040,831,205,53,0,3,0,0,0,0,0,0,799,4,2
Ligue 1,2425,Lyon,Mahamadou Diawara,FRA,MF,20,2005.0,0.2,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
Ligue 1,2425,Lyon,Malick Fofana,BEL,FW,20,2005.0,17.7,638,623,14,1,1,0,70,13,0,0,0,0,494,1,32
Ligue 1,2425,Lyon,Mama Samba Baldé,GNB,FW,29,1995.0,0.4,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0
Ligue 1,2425,Lyon,Maxence Caqueret,FRA,MF,25,2000.0,6.4,343,332,10,5,0,1,6,1,0,0,0,0,274,1,14
Ligue 1,2425,Lyon,Moussa Niakhate,SEN,DF,29,1996.0,30.3,1869,1748,119,44,4,6,5,34,0,0,0,0,1688,2,14
Ligue 1,2425,Lyon,Nemanja Matić,SRB,MF,36,1988.0,22.3,1415,1356,54,43,4,12,9,3,0,0,0,0,1230,5,18
Ligue 1,2425,Lyon,Nicolás Tagliafico,ARG,DF,32,1992.0,21.1,1338,1179,155,23,0,1,37,132,0,0,0,0,1159,4,24
Ligue 1,2425,Lyon,Orel Mangala,BEL,MF,27,1998.0,0.7,32,31,0,0,0,0,1,0,0,0,0,0,29,1,2
Ligue 1,2425,Lyon,Paul Akouokou,CIV,MF,27,1997.0,0.2,15,15,0,0,0,0,0,0,0,0,0,0,10,0,1
Ligue 1,2425,Lyon,Rayan Cherki,FRA,"FW,MF",21,2003.0,22.7,1375,1200,163,31,22,15,118,29,98,26,55,0,1079,12,32
Ligue 1,2425,Lyon,Rémy Descamps,FRA,GK,28,1996.0,1.0,30,27,3,1,0,0,0,0,0,0,0,0,27,0,0
Ligue 1,2425,Lyon,Sael Kumbedi,FRA,DF,20,2005.0,10.6,509,447,61,5,1,0,14,56,0,0,0,0,436,1,11
Ligue 1,2425,Lyon,Saïd Benrahma,ALG,"FW,MF",29,1995.0,8.2,358,334,20,6,1,2,43,2,12,4,6,0,258,4,11
Ligue 1,2425,Lyon,Tanner Tessmann,USA,MF,23,2001.0,13.7,766,748,18,7,1,16,14,5,5,3,2,0,685,0,7
Ligue 1,2425,Lyon,Thiago Almada,ARG,"MF,FW",24,2001.0,10.6,748,668,71,28,5,8,47,6,35,20,7,0,635,9,6
Ligue 1,2425,Lyon,Téo Barisic,FRA,DF,20,2004.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Ligue 1,2425,Lyon,Warmed Omari,COM,DF,25,2000.0,0.1,6,5,1,1,0,0,0,0,0,0,0,0,6,0,0
Ligue 1,2425,Lyon,Wilfried Zaha,CIV,FW,32,1992.0,0.8,32,31,1,1,0,0,0,0,0,0,0,0,28,0,2
Ligue 1,2425,Marseille,Adrien Rabiot,FRA,MF,30,1995.0,27.6,1543,1508,32,19,6,0,40,11,0,0,0,0,1309,3,38
Ligue 1,2425,Marseille,Amar Dedić,BIH,DF,22,2002.0,3.5,224,199,25,0,1,1,5,24,1,0,0,0,189,0,6
Ligue 1,2425,Marseille,Amine Gouiri,ALG,"FW,MF",25,2000.0,11.6,351,271,79,6,1,0,57,0,49,19,28,0,284,1,5
Ligue 1,2425,Marseille,Amine Harit,MAR,MF,27,1997.0,5.8,255,232,18,7,4,1,7,0,6,3,1,0,213,5,6
Ligue 1,2425,Marseille,Bamo Meïté,CIV,DF,23,2001.0,0.3,28,24,4,0,0,0,0,4,0,0,0,0,26,0,1
Ligue 1,2425,Marseille,Bilal Nadir,MAR,MF,21,2003.0,4.3,252,237,14,10,1,0,6,0,3,1,0,0,220,1,9
Ligue 1,2425,Marseille,Darryl Bakola,FRA,"DF,MF",17,2007.0,0.2,13,13,0,0,0,0,0,0,0,0,0,0,12,0,0
Ligue 1,2425,Marseille,Derek Cornelius,CAN,DF,27,1997.0,15.8,1357,1311,43,23,1,1,4,3,0,0,0,0,1267,3,9
Ligue 1,2425,Marseille,Elye Wahi,FRA,FW,22,2003.0,6.4,111,102,8,0,0,1,2,0,0,0,0,0,88,1,6
Ligue 1,2425,Marseille,Emmanuel Koum Mbondo,FRA,DF,19,2006.0,0.1,9,7,2,0,0,0,0,2,0,0,0,0,8,0,0
Ligue 1,2425,Marseille,Enzo Sternal,FRA,"FW,MF",17,2007.0,0.3,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0
Ligue 1,2425,Marseille,Faris Pemi Moumbagna,CMR,FW,24,2000.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ligue 1,2425,Marseille,Geoffrey Kondogbia,CTA,"DF,MF",32,1993.0,22.4,1803,1745,57,27,2,3,4,8,0,0,0,0,1668,1,10
Ligue 1,2425,Marseille,Gerónimo Rulli,ARG,GK,33,1992.0,34.0,1204,1013,189,84,0,3,0,0,0,0,0,0,1058,2,0
Ligue 1,2425,Marseille,Ismaël Bennacer,ALG,MF,27,1997.0,7.2,810,765,41,18,3,1,28,1,22,12,10,0,737,4,7
Ligue 1,2425,Marseille,Ismaël Koné,CAN,"MF,FW",22,2002.0,4.0,180,176,4,2,1,0,3,0,0,0,0,0,156,0,3
Ligue 1,2425,Marseille,Jon Rowe,ENG,"FW,MF",22,2003.0,9.0,291,271,19,3,5,1,28,3,6,3,1,0,233,1,8
Ligue 1,2425,Marseille,Keyliane Abdallah,FRA,FW,19,2006.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Ligue 1,2425,Marseille,Leonardo Balerdi,ARG,DF,26,1999.0,25.3,2516,2452,61,44,3,8,2,1,0,0,0,0,2360,3,12
Ligue 1,2425,Marseille,Lilian Brassier,FRA,DF,25,1999.0,8.7,653,605,43,12,0,2,5,21,0,0,0,0,560,5,6
Ligue 1,2425,Marseille,Luis Henrique,BRA,"DF,FW",23,2001.0,29.0,1427,1350,75,5,2,6,97,62,8,1,5,0,1156,2,31
Ligue 1,2425,Marseille,Luiz Felipe,ITA,DF,28,1997.0,1.4,66,62,4,1,0,0,0,2,0,0,0,0,58,0,1
Ligue 1,2425,Marseille,Mason Greenwood,ENG,"FW,MF",23,2001.0,31.2,1389,1313,71,13,13,25,110,8,43,29,4,0,1089,5,26
Ligue 1,2425,Marseille,Michael Amir Murillo,PAN,DF,29,1996.0,27.1,1902,1691,207,44,1,0,37,162,0,0,0,0,1665,4,32
Ligue 1,2425,Marseille,Neal Maupay,FRA,FW,28,1996.0,11.6,297,264,33,4,1,0,1,4,0,0,0,0,250,0,9
Ligue 1,2425,Marseille,Pierre Højbjerg,DEN,MF,29,1995.0,29.6,2895,2787,106,82,10,13,19,9,13,6,5,0,2674,2,20
Ligue 1,2425,Marseille,Pol Lirola,ESP,DF,27,1997.0,7.6,397,351,45,3,1,0,14,42,0,0,0,0,330,1,13
Ligue 1,2425,Marseille,Quentin Merlin,FRA,DF,23,2002.0,17.7,1145,980,162,15,0,4,95,121,26,6,15,0,943,3,27
Ligue 1,2425,Marseille,Robinio Vaz,FRA,FW,18,2007.0,0.8,8,8,0,0,0,0,1,0,0,0,0,0,2,0,0
Ligue 1,2425,Marseille,Ulisses Garcia,SUI,DF,29,1996.0,10.3,632,536,94,15,0,2,35,74,0,0,0,0,535,2,15
Ligue 1,2425,Marseille,Valentin Carboni,ARG,"MF,FW",20,2005.0,1.1,64,62,2,0,1,0,2,2,0,0,0,0,57,0,3
Ligue 1,2425,Marseille,Valentin Rongier,FRA,"MF,DF",30,1994.0,17.4,1408,1373,31,17,1,3,7,14,0,0,0,0,1271,4,25
Ligue 1,2425,Monaco,Aleksandr Golovin,RUS,"MF,FW",28,1996.0,12.8,678,648,25,12,9,4,23,6,7,2,3,0,523,5,13
Ligue 1,2425,Monaco,Almoatasem Al Musrati,LBY,MF,29,1996.0,4.3,291,280,10,10,4,5,0,0,0,0,0,0,255,1,0
Ligue 1,2425,Monaco,Breel Embolo,SUI,"FW,MF",28,1997.0,20.5,432,397,30,2,8,1,6,0,0,0,0,0,299,5,9
Ligue 1,2425,Monaco,Caio Henrique Oliveira Silva,BRA,DF,27,1997.0,21.4,1383,1113,267,56,6,3,126,175,36,16,15,0,1025,3,37
Ligue 1,2425,Monaco,Christian Mawissa,FRA,DF,20,2005.0,16.7,945,902,43,12,0,0,3,20,0,0,0,0,827,0,12
Ligue 1,2425,Monaco,Denis Zakaria,SUI,MF,28,1996.0,23.8,1175,1135,38,36,4,2,7,2,0,0,0,0,1062,2,8
Ligue 1,2425,Monaco,Eliesse Ben Seghir,MAR,"MF,FW",20,2005.0,19.4,951,885,64,12,14,3,52,8,34,18,11,0,754,2,18
Ligue 1,2425,Monaco,Eliot Matazo,BEL,MF,23,2002.0,0.8,41,39,2,1,0,0,0,1,0,0,0,0,35,0,0
Ligue 1,2425,Monaco,Folarin Balogun,USA,FW,23,2001.0,6.8,125,118,6,0,0,0,5,1,0,0,0,0,85,1,6
Ligue 1,2425,Monaco,George Ilenikhena,FRA,FW,18,2006.0,8.0,121,111,9,0,1,0,0,0,0,0,0,0,87,1,2
Ligue 1,2425,Monaco,Ismail Jakobs,SEN,DF,25,1999.0,2.0,105,87,18,5,0,0,14,13,0,0,0,0,85,0,2
Ligue 1,2425,Monaco,Jordan Teze,NED,DF,25,1999.0,6.3,363,289,73,7,1,1,12,63,3,1,0,0,287,1,9
Ligue 1,2425,Monaco,Kassoum Ouattara,FRA,"DF,FW",20,2004.0,4.3,217,169,48,3,0,3,17,45,0,0,0,0,172,0,6
Ligue 1,2425,Monaco,Krépin Diatta,SEN,"DF,FW",26,1999.0,5.6,314,278,35,2,1,3,15,33,0,0,0,0,240,1,5
Ligue 1,2425,Monaco,Lamine Camara,SEN,MF,21,2004.0,22.8,1479,1332,142,52,5,11,118,3,87,39,39,0,1224,5,20
Ligue 1,2425,Monaco,Lucas Michal,FRA,"FW,MF",19,2005.0,1.3,44,42,2,0,0,0,2,0,0,0,0,0,36,0,0
Ligue 1,2425,Monaco,Maghnes Akliouche,FRA,"FW,MF",23,2002.0,26.7,1216,1163,43,10,8,8,53,16,17,11,2,0,989,10,34
Ligue 1,2425,Monaco,Mamadou Coulibaly,FRA,MF,21,2004.0,0.1,5,5,0,0,0,0,1,0,0,0,0,0,3,0,0
Ligue 1,2425,Monaco,Mika Biereth,DEN,FW,22,2003.0,13.6,241,222,15,1,2,1,8,1,0,0,0,0,149,4,15
Ligue 1,2425,Monaco,Mohammed Salisu,GHA,DF,26,1999.0,11.4,775,738,37,25,0,3,0,2,0,0,0,0,662,0,7
Ligue 1,2425,Monaco,Philipp Köhn,SUI,GK,27,1998.0,19.0,546,411,135,36,0,1,0,0,0,0,0,0,414,0,0
Ligue 1,2425,Monaco,Radosław Majecki,POL,GK,25,1999.0,15.0,407,293,114,27,0,0,0,0,0,0,0,0,304,0,0
Ligue 1,2425,Monaco,Saïmon Bouabré,FRA,"MF,FW",18,2006.0,1.1,29,29,0,0,0,0,0,0,0,0,0,0,20,0,1
Ligue 1,2425,Monaco,Soungoutou Magassa,FRA,MF,21,2003.0,11.4,638,621,13,13,4,7,7,0,0,0,0,0,540,4,9
Ligue 1,2425,Monaco,Takumi Minamino,JPN,"MF,FW",30,1995.0,24.8,736,714,15,2,15,2,23,6,0,0,0,0,520,7,30
Ligue 1,2425,Monaco,Thilo Kehrer,GER,DF,28,1996.0,26.5,1804,1715,86,76,1,7,2,1,0,0,0,0,1622,3,7
Ligue 1,2425,Monaco,Vanderson,BRA,DF,23,2001.0,22.9,1403,1175,220,30,4,13,59,190,0,0,0,0,1090,8,30
Ligue 1,2425,Monaco,Wilfried Singo,CIV,DF,24,2000.0,23.3,1452,1346,100,64,1,10,10,36,0,0,0,0,1252,6,8
Ligue 1,2425,Montpellier,Akor Adams,NGA,FW,25,2000.0,11.9,179,160,17,0,1,2,5,0,0,0,0,0,112,2,7
Ligue 1,2425,Montpellier,Andy Delort,ALG,FW,33,1991.0,6.7,110,104,5,0,0,0,11,1,0,0,0,0,54,1,7
Ligue 1,2425,Montpellier,Arnaud Nordin,FRA,FW,26,1998.0,13.0,332,316,13,3,3,0,35,8,0,0,0,0,232,3,15
Ligue 1,2425,Montpellier,Axel Gueguin,FRA,FW,20,2005.0,0.3,6,5,1,0,0,0,1,0,1,0,1,0,5,0,1
Ligue 1,2425,Montpellier,Bamo Meïté,CIV,DF,23,2001.0,4.7,173,165,8,2,0,0,0,2,0,0,0,0,153,0,3
Ligue 1,2425,Montpellier,Becir Omeragic,SUI,DF,23,2002.0,20.0,903,846,54,30,0,2,7,7,0,0,0,0,832,3,7
Ligue 1,2425,Montpellier,Benjamin Lecomte,FRA,GK,34,1991.0,30.0,1000,729,269,85,0,1,0,0,0,0,0,0,676,2,1
Ligue 1,2425,Montpellier,Birama Touré,MLI,"MF,DF",32,1992.0,3.3,123,121,2,2,0,1,0,0,0,0,0,0,101,0,0
Ligue 1,2425,Montpellier,Boubakar Kouyaté,MLI,DF,28,1997.0,8.4,253,246,5,2,0,0,0,0,0,0,0,0,211,2,1
Ligue 1,2425,Montpellier,Dimitry Bertaud,COD,GK,26,1998.0,4.0,114,80,33,6,0,0,0,0,0,0,0,0,82,1,0
Ligue 1,2425,Montpellier,Enzo Tchato,CMR,DF,22,2002.0,21.1,1010,807,196,20,1,0,77,176,0,0,0,0,757,7,28
Ligue 1,2425,Montpellier,Falaye Sacko,MLI,DF,30,1995.0,13.7,648,540,108,11,0,2,12,97,0,0,0,0,542,0,14
Ligue 1,2425,Montpellier,Gabriel Bares,SUI,"MF,DF",24,2000.0,0.6,40,39,1,1,0,0,1,0,0,0,0,0,34,0,0
Ligue 1,2425,Montpellier,Issiaga Sylla,GUI,DF,31,1994.0,12.8,563,478,84,7,2,3,36,77,0,0,0,0,435,1,16
Ligue 1,2425,Montpellier,Jordan Ferri,FRA,MF,33,1992.0,19.7,1267,1204,58,45,2,7,25,13,0,0,0,0,1119,5,10
Ligue 1,2425,Montpellier,Joris Chotard,FRA,MF,23,2001.0,21.0,822,780,39,34,5,14,30,3,1,0,1,0,672,3,14
Ligue 1,2425,Montpellier,Junior Ndiaye,FRA,FW,20,2005.0,4.9,80,71,9,0,1,0,1,2,0,0,0,0,57,0,3
Ligue 1,2425,Montpellier,Khalil Fayad,FRA,"MF,FW",20,2004.0,11.4,514,492,22,12,2,4,20,3,7,4,0,0,426,0,12
Ligue 1,2425,Montpellier,Lucas Mincarelli,FRA,DF,21,2004.0,7.9,379,331,47,13,0,0,21,24,5,4,0,0,309,1,6
Ligue 1,2425,Montpellier,Modibo Sagnan,MLI,DF,26,1999.0,23.8,967,932,33,25,0,12,1,3,0,0,0,0,857,2,7
Ligue 1,2425,Montpellier,Musa Al-Taamari,JOR,"FW,MF",27,1997.0,12.4,304,283,20,2,1,1,14,13,1,0,0,0,235,1,14
Ligue 1,2425,Montpellier,Nicolas Pays,FRA,"FW,MF",21,2003.0,5.0,179,168,11,1,1,0,17,4,2,0,1,0,139,0,5
Ligue 1,2425,Montpellier,Nikola Maksimović,SRB,DF,33,1991.0,6.5,310,290,19,9,0,2,0,1,0,0,0,0,288,1,2
Ligue 1,2425,Montpellier,Othmane Maamma,MAR,"FW,MF",19,2005.0,4.0,78,75,3,0,1,0,12,3,0,0,0,0,51,0,2
Ligue 1,2425,Montpellier,Rabby Nzingoula,CGO,MF,19,2005.0,18.8,592,578,11,8,7,2,16,1,2,0,0,0,454,3,27
Ligue 1,2425,Montpellier,Simon Cara,FRA,"MF,FW",19,2005.0,0.1,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0
Ligue 1,2425,Montpellier,Stefan Džodić,SRB,"DF,MF",20,2005.0,2.7,176,171,5,3,0,1,0,0,0,0,0,0,158,0,0
Ligue 1,2425,Montpellier,Tanguy Coulibaly,FRA,"FW,MF",24,2001.0,16.5,372,350,22,0,2,0,21,6,4,1,0,0,292,0,12
Ligue 1,2425,Montpellier,Théo Chennahi,FRA,DF,20,2005.0,2.0,66,53,13,2,0,0,2,11,0,0,0,0,57,0,0
Ligue 1,2425,Montpellier,Théo Sainte-Luce,FRA,DF,26,1998.0,11.3,347,278,67,1,0,0,23,66,0,0,0,0,257,2,8
Ligue 1,2425,Montpellier,Téji Savanier,FRA,MF,33,1991.0,26.3,1481,1176,285,113,13,49,199,17,112,41,61,0,1031,20,27
Ligue 1,2425,Montpellier,Wahbi Khazri,TUN,"FW,MF",34,1991.0,12.4,337,288,48,9,3,5,48,5,20,5,11,0,229,1,13
Ligue 1,2425,Montpellier,Wilfried Ndollo,CMR,DF,19,2005.0,4.5,190,154,34,2,0,0,6,32,0,0,0,0,151,2,7
Ligue 1,2425,Montpellier,Yael Mouanga,FRA,DF,19,2005.0,10.5,479,451,27,12,0,1,2,0,0,0,0,0,420,1,4
Ligue 1,2425,Montpellier,Yanis Issoufou,FRA,"MF,FW",18,2006.0,0.9,20,19,0,0,0,0,3,0,0,0,0,0,10,1,3
Ligue 1,2425,Nantes,Alban Lafont,FRA,GK,26,1999.0,12.0,367,278,88,31,0,1,0,0,0,0,0,0,256,1,1
Ligue 1,2425,Nantes,Anthony Lopes,POR,GK,34,1990.0,17.4,547,376,171,75,0,2,0,0,0,0,0,0,356,0,0
Ligue 1,2425,Nantes,Bahereba Guirassy,FRA,"FW,MF",18,2006.0,3.9,120,118,1,0,1,0,7,1,0,0,0,0,85,1,9
Ligue 1,2425,Nantes,Dehmaine Assoumani,FRA,"MF,FW",20,2005.0,1.1,50,46,4,1,0,0,6,1,1,0,1,0,38,0,2
Ligue 1,2425,Nantes,Douglas,BRA,MF,28,1997.0,25.6,1190,1119,68,53,2,3,10,9,3,2,0,0,1029,3,17
Ligue 1,2425,Nantes,Fabien Centonze,FRA,DF,29,1996.0,2.9,142,123,19,3,0,1,11,16,0,0,0,0,111,0,3
Ligue 1,2425,Nantes,Florent Mollet,FRA,"MF,FW",33,1991.0,2.7,106,91,14,2,0,0,13,1,10,2,8,0,83,1,4
Ligue 1,2425,Nantes,Francis Coquelin,FRA,MF,34,1991.0,2.5,101,100,1,0,1,1,0,1,0,0,0,0,88,0,1
Ligue 1,2425,Nantes,Ignatius Ganago,CMR,"FW,MF",26,1999.0,2.7,77,72,5,0,0,0,3,1,0,0,0,0,59,0,1
Ligue 1,2425,Nantes,Jean-Charles Castelletto,CMR,"DF,MF",30,1995.0,29.1,1391,1331,58,28,0,4,9,21,0,0,0,0,1233,2,8
Ligue 1,2425,Nantes,Jean-Kevin Duverne,HAI,DF,27,1997.0,6.0,304,250,53,6,0,0,9,47,0,0,0,0,238,1,5
Ligue 1,2425,Nantes,Jean-Philippe Gbamin,CIV,MF,29,1995.0,2.4,115,113,2,2,0,2,0,0,0,0,0,0,90,0,2
Ligue 1,2425,Nantes,Johann Lepenant,FRA,MF,22,2002.0,22.8,725,703,21,3,2,0,16,8,1,1,0,0,582,1,30
Ligue 1,2425,Nantes,Kelvin Amian,FRA,DF,27,1998.0,24.1,921,719,200,14,4,1,37,184,0,0,0,0,738,2,24
Ligue 1,2425,Nantes,Louis Leroux,FRA,"MF,DF",19,2006.0,9.1,300,282,18,3,0,1,6,13,0,0,0,0,248,0,8
Ligue 1,2425,Nantes,Marcus Coco,FRA,DF,28,1996.0,10.6,483,400,80,10,0,0,28,70,0,0,0,0,384,3,6
Ligue 1,2425,Nantes,Matthis Abline,FRA,FW,22,2003.0,30.8,538,510,26,1,3,4,30,1,0,0,0,0,351,2,27
Ligue 1,2425,Nantes,Meschak Elia,COD,FW,27,1997.0,1.9,62,58,4,1,0,0,14,2,1,0,1,0,35,0,3
Ligue 1,2425,Nantes,Moses Simon,NGA,"FW,MF",29,1995.0,29.0,815,692,123,27,5,1,222,23,67,35,24,0,505,0,48
Ligue 1,2425,Nantes,Mostafa Mohamed,EGY,FW,27,1997.0,13.9,247,227,17,0,2,0,4,1,0,0,0,0,160,3,9
Ligue 1,2425,Nantes,Nathan Zeze,FRA,DF,19,2005.0,16.8,859,826,32,20,1,4,1,5,0,0,0,0,737,1,2
Ligue 1,2425,Nantes,Nicolas Cozza,FRA,"DF,MF",26,1999.0,22.8,782,567,211,15,1,1,27,196,0,0,0,0,608,4,21
Ligue 1,2425,Nantes,Nicolas Pallois,FRA,DF,37,1987.0,22.4,874,813,61,32,1,4,7,26,0,0,0,0,731,0,8
Ligue 1,2425,Nantes,Patrik Carlgren,SWE,GK,33,1992.0,4.6,137,83,53,16,0,0,0,0,0,0,0,0,90,1,0
Ligue 1,2425,Nantes,Pedro Chirivella,ESP,MF,28,1997.0,26.1,1570,1468,100,69,4,14,19,5,7,5,2,0,1336,2,16
Ligue 1,2425,Nantes,Plamedi Nsingi,0,MF,24,2000.0,0.2,6,6,0,0,0,0,0,0,0,0,0,0,2,0,1
Ligue 1,2425,Nantes,Saidou Sow,GUI,DF,22,2002.0,8.9,399,361,37,6,0,1,0,2,0,0,0,0,332,1,1
Ligue 1,2425,Nantes,Sorba Thomas,WAL,"FW,MF",25,1999.0,14.7,550,456,93,18,0,1,130,22,53,22,25,0,360,1,16
Ligue 1,2425,Nantes,Sékou Doucoure,FRA,DF,20,2005.0,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Ligue 1,2425,Nantes,Tino Kadewere,ZIM,"MF,FW",29,1996.0,5.7,173,169,3,1,1,0,2,2,0,0,0,0,130,1,7
Ligue 1,2425,Nice,Ali Abdi,TUN,"DF,MF",31,1993.0,15.5,678,551,122,12,0,2,51,110,0,0,0,0,502,5,22
Ligue 1,2425,Nice,Amidou Doumbouya,FRA,DF,17,2007.0,0.5,25,24,1,0,0,0,2,1,0,0,0,0,19,0,2
Ligue 1,2425,Nice,Antoine Mendy,SEN,DF,20,2004.0,9.2,486,427,59,16,1,2,7,43,0,0,0,0,394,0,6
Ligue 1,2425,Nice,Badredine Bouanani,ALG,"MF,FW",20,2004.0,12.2,430,398,28,13,7,1,33,4,8,2,2,0,330,4,11
Ligue 1,2425,Nice,Baptiste Santamaria,FRA,MF,30,1995.0,10.3,471,460,9,8,3,4,3,0,1,0,1,0,389,2,9
Ligue 1,2425,Nice,Bernard Nguene,CMR,FW,18,2006.0,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Ligue 1,2425,Nice,Bilal Brahimi,ALG,MF,25,2000.0,0.8,40,35,5,0,0,0,5,3,2,1,1,0,35,0,1
Ligue 1,2425,Nice,Dante,BRA,DF,41,1983.0,21.8,1432,1336,93,63,5,8,2,4,0,0,0,0,1267,3,11
Ligue 1,2425,Nice,Evann Guessand,CIV,"FW,MF",23,2001.0,28.5,574,549,22,3,9,1,36,0,0,0,0,0,421,3,30
Ligue 1,2425,Nice,Gaëtan Laborde,FRA,FW,31,1994.0,20.3,497,459,36,1,3,2,27,0,0,0,0,0,346,2,15
Ligue 1,2425,Nice,Hicham Boudaoui,ALG,MF,25,1999.0,27.1,1134,1104,26,24,12,5,17,1,0,0,0,0,943,4,27
Ligue 1,2425,Nice,Issiaga Camara,GUI,MF,20,2005.0,0.2,16,16,0,0,0,0,0,0,0,0,0,0,15,0,0
Ligue 1,2425,Nice,Jeremie Boga,CIV,"MF,FW",28,1997.0,11.7,398,380,15,2,0,2,21,2,10,7,1,0,329,3,13
Ligue 1,2425,Nice,Jonathan Clauss,FRA,"DF,MF",32,1992.0,25.6,1399,1077,316,41,4,3,190,167,108,36,50,0,1006,6,36
Ligue 1,2425,Nice,Jordan Lotomba,SUI,"MF,DF",26,1998.0,0.4,21,19,2,0,0,0,2,2,0,0,0,0,17,0,0
Ligue 1,2425,Nice,Marcin Bułka,POL,GK,25,1999.0,34.0,1110,878,232,70,0,0,0,0,0,0,0,0,898,0,1
Ligue 1,2425,Nice,Melvin Bard,FRA,"DF,MF",24,2000.0,21.5,1166,998,162,24,4,0,60,136,1,0,0,0,903,6,29
Ligue 1,2425,Nice,Mohamed Abdelmoneim,EGY,DF,26,1999.0,9.5,521,493,28,21,0,7,2,5,0,0,0,0,471,0,2
Ligue 1,2425,Nice,Mohamed Ali Cho,FRA,"FW,MF",21,2004.0,18.0,481,456,23,3,9,2,51,0,9,4,4,0,338,2,23
Ligue 1,2425,Nice,Morgan Sanson,FRA,MF,30,1994.0,2.6,106,104,2,2,1,2,4,0,0,0,0,0,83,0,2
Ligue 1,2425,Nice,Moïse Bombito,CAN,DF,25,2000.0,24.4,1404,1346,57,29,3,7,2,3,0,0,0,0,1266,1,8
Ligue 1,2425,Nice,Pablo Rosario,NED,"MF,DF",28,1997.0,19.7,754,739,14,13,3,2,3,0,0,0,0,0,641,1,11
Ligue 1,2425,Nice,Rareş Ilie,ROU,MF,22,2003.0,0.1,10,8,2,1,0,0,3,0,1,0,1,0,8,0,2
Ligue 1,2425,Nice,Sofiane Diop,FRA,"MF,FW",24,2000.0,11.8,565,523,40,14,16,7,33,3,22,7,8,0,436,2,12
Ligue 1,2425,Nice,Tanguy Ndombele,FRA,MF,28,1996.0,12.6,476,457,15,14,6,0,3,0,0,0,0,0,415,4,3
Ligue 1,2425,Nice,Terem Moffi,NGA,FW,25,1999.0,0.6,10,10,0,0,0,0,0,0,0,0,0,0,6,0,0
Ligue 1,2425,Nice,Tom Louchet,FRA,"DF,MF",22,2003.0,8.6,454,377,74,13,0,0,35,53,8,3,4,0,371,3,10
Ligue 1,2425,Nice,Victor Orakpo,NGA,FW,18,2006.0,0.4,17,16,1,0,0,0,0,0,0,0,0,0,15,0,1
Ligue 1,2425,Nice,Yael Nandjou,FRA,DF,19,2005.0,1.7,66,53,13,0,0,0,4,13,0,0,0,0,50,0,3
Ligue 1,2425,Nice,Youssouf Ndayishimiye,BDI,DF,26,1998.0,21.5,1316,1237,74,52,2,5,2,6,0,0,0,0,1177,5,9
Ligue 1,2425,Nice,Youssoufa Moukoko,GER,"FW,MF",20,2004.0,2.3,44,41,3,1,0,0,1,0,0,0,0,0,36,0,0
Ligue 1,2425,Paris S-G,Achraf Hakimi,MAR,DF,26,1998.0,23.0,2140,1949,188,34,2,8,80,150,4,0,1,0,1898,3,32
