league,season,team,player,nation,position,age,born_year,90s,passes_attempted,play_passes,fk_passes,free_kicks_passes,through_ball_passes,switches_passes,crosses_passes,throw_ins_passes,corner_kicks_passes,inswinging_corner_kicks,outswinging_corner_kicks,straight_corner_kicks,passes_completed,passes_offside,passes_blocked_by_rival
Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,22,2002.0,33.5,1639,1606,31,27,6,7,6,1,0,0,0,0,1345,2,10
Premier League,2425,Bournemouth,James Hill,ENG,DF,23,2002.0,5.0,245,212,33,3,0,0,10,30,0,0,0,0,159,0,5
Premier League,2425,Bournemouth,Julian Araujo,MEX,DF,23,2001.0,5.5,225,198,27,2,0,0,9,25,0,0,0,0,178,0,2
Premier League,2425,Bournemouth,Julio Soler,ARG,"DF,FW",20,2005.0,0.1,14,14,0,0,0,0,1,0,0,0,0,0,11,0,1
Premier League,2425,Bournemouth,Justin Kluivert,NED,"MF,FW",26,1999.0,25.0,747,653,87,7,5,6,81,9,32,28,0,0,557,7,17
Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30,1994.0,30.0,997,705,288,98,0,0,0,0,0,0,0,0,728,4,2
Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",28,1997.0,33.1,1585,1358,225,71,3,2,132,73,77,65,3,0,1224,2,26
Premier League,2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25,1999.0,2.6,93,92,0,0,0,1,7,0,0,0,0,0,73,1,4
Premier League,2425,Bournemouth,Marcos Senesi,ARG,DF,28,1997.0,11.4,654,621,28,21,0,2,11,6,0,0,0,0,500,5,1
Premier League,2425,Bournemouth,Marcus Tavernier,ENG,"FW,MF",26,1999.0,20.6,868,743,121,31,4,8,103,29,49,36,4,1,633,4,26
Premier League,2425,Bournemouth,Mark Travers,IRL,GK,26,1999.0,5.0,142,95,47,8,0,0,0,0,0,0,0,0,100,0,0
Premier League,2425,Bournemouth,Max Aarons,ENG,DF,25,2000.0,1.0,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1
