league,season,team,player,nation,position,age,born_year,90s,touches,touches_def_penalty_area,touches_def_third,touches_mid_third,touches_ofe_third,touches_ofe_penalty_area,touches_live,take_ons_attempted,take_ons_successful,perc_take_ons,times_tackled_during_take_ons,perc_tackles,carries,carries_distance,progressive_carries_distance,progressive_carries,carries_into_ofe_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Premier League,2425,Crystal Palace,Daniel Muñoz,COL,DF,28,1996.0,34.9,1969,115,547,811,632,106,1969,55,21,38.2,32,58.2,783,3931,1743,60,38,18,54,19,939,204
Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,28,1997.0,37.0,1268,1031,1263,4,1,1,1268,0,0,0.0,0,0.0,729,4330,2063,0,0,0,2,0,567,0
Premier League,2425,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26,1998.0,28.1,1389,15,184,648,592,94,1387,133,64,48.1,61,45.9,823,4993,2336,68,48,22,55,45,896,152
Premier League,2425,Crystal Palace,Eddie Nketiah,ENG,"FW,MF",25,1999.0,11.2,406,11,47,172,196,66,406,30,11,36.7,15,50.0,243,1710,878,41,25,14,34,16,290,76
Premier League,2425,Crystal Palace,Ismaila Sarr,SEN,MF,27,1998.0,29.1,1058,45,172,395,501,133,1058,57,17,29.8,31,54.4,585,3595,2015,72,44,27,67,43,717,179
Premier League,2425,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27,1997.0,28.7,726,25,61,344,335,93,724,46,20,43.5,22,47.8,390,2102,1003,43,21,10,71,43,530,121
Premier League,2425,Crystal Palace,Jefferson Lerma,COL,"MF,DF",30,1994.0,24.3,1353,103,432,693,238,28,1353,12,6,50.0,4,33.3,629,2386,1065,12,10,0,15,17,785,26
Premier League,2425,Crystal Palace,Jeffrey Schlupp,GHA,"MF,DF",32,1992.0,1.1,79,2,9,31,41,6,79,1,1,100.0,0,0.0,30,150,67,4,1,1,7,0,41,9
Premier League,2425,Crystal Palace,Joachim Andersen,DEN,DF,28,1996.0,1.0,93,14,38,50,5,0,93,0,0,0.0,0,0.0,49,189,103,1,1,0,0,1,67,1
Premier League,2425,Crystal Palace,Joel Ward,ENG,DF,35,1989.0,0.8,32,3,17,15,1,0,32,1,0,0.0,1,100.0,15,43,15,0,0,0,0,0,16,1
Premier League,2425,Crystal Palace,Jordan Ayew,GHA,"FW,MF",33,1991.0,0.2,12,0,0,7,5,1,12,0,0,0.0,0,0.0,6,25,12,0,0,0,0,1,9,1
Premier League,2425,Crystal Palace,Justin Devenny,NIR,MF,21,2003.0,5.3,263,8,51,136,82,7,263,4,2,50.0,2,50.0,125,645,310,5,5,1,17,3,157,13
Premier League,2425,Crystal Palace,Marc Guéhi,ENG,DF,24,2000.0,34.0,2131,312,1052,942,148,39,2131,15,12,80.0,2,13.3,1141,5570,2931,22,17,1,16,18,1330,10
Premier League,2425,Crystal Palace,Matheus França,BRA,"MF,FW",21,2004.0,0.6,31,2,5,11,15,7,31,0,0,0.0,0,0.0,19,130,85,4,1,3,2,0,21,4
Premier League,2425,Crystal Palace,Maxence Lacroix,FRA,DF,25,2000.0,33.6,1891,344,1148,666,84,45,1891,14,8,57.1,4,28.6,1013,4770,2184,8,6,0,21,6,1118,7
Premier League,2425,Crystal Palace,Nathaniel Clyne,ENG,"DF,MF",34,1991.0,5.4,273,18,111,125,37,3,273,1,0,0.0,1,100.0,158,651,314,6,2,3,5,2,178,8
Premier League,2425,Crystal Palace,Odsonne Édouard,FRA,"MF,FW",27,1998.0,1.3,45,1,4,23,18,8,45,1,0,0.0,1,100.0,23,107,50,2,1,2,4,1,26,7
Premier League,2425,Crystal Palace,Romain Esse,ENG,MF,20,2005.0,1.4,61,1,14,23,24,8,61,4,1,25.0,3,75.0,32,109,48,1,1,1,5,1,37,11
Premier League,2425,Crystal Palace,Trevoh Chalobah,ENG,DF,25,1999.0,11.8,594,66,275,276,51,14,594,10,6,60.0,2,20.0,278,1213,661,11,9,1,4,7,317,6
Premier League,2425,Crystal Palace,Tyrick Mitchell,ENG,DF,25,1999.0,33.4,1692,108,585,656,464,43,1692,34,14,41.2,16,47.1,787,3595,1629,56,33,9,36,30,874,169
Premier League,2425,Crystal Palace,Will Hughes,ENG,MF,30,1995.0,22.6,1164,44,276,597,303,15,1164,15,4,26.7,7,46.7,511,2596,1193,19,22,1,20,27,640,27
Premier League,2425,Everton,Abdoulaye Doucouré,MLI,MF,32,1993.0,28.3,1158,31,224,536,413,65,1158,45,24,53.3,21,46.7,603,2950,1396,42,26,8,38,38,749,96
Premier League,2425,Everton,Armando Broja,ALB,FW,23,2001.0,3.7,127,4,14,47,72,18,127,16,8,50.0,7,43.8,64,577,281,12,8,3,16,13,94,26
Premier League,2425,Everton,Ashley Young,ENG,DF,39,1985.0,19.8,1154,59,354,507,300,9,1154,18,5,27.8,9,50.0,473,2375,1326,23,25,1,11,1,602,32
Premier League,2425,Everton,Beto,GNB,FW,27,1998.0,16.1,491,27,49,214,234,83,491,36,19,52.8,15,41.7,256,1195,472,15,12,9,67,35,352,76
Premier League,2425,Everton,Carlos Alcaraz,ARG,"FW,MF",22,2002.0,7.7,352,13,57,159,145,17,352,17,9,52.9,6,35.3,200,1224,655,17,20,2,14,13,231,20
Premier League,2425,Everton,Dominic Calvert-Lewin,ENG,FW,28,1997.0,17.8,514,25,43,213,263,86,514,25,10,40.0,13,52.0,279,1433,451,22,8,16,77,33,414,111
Premier League,2425,Everton,Dwight McNeil,ENG,"MF,FW",25,1999.0,15.1,741,5,70,323,368,25,741,45,24,53.3,20,44.4,439,2631,1123,38,34,5,26,33,507,80
Premier League,2425,Everton,Harrison Armstrong,ENG,MF,18,2007.0,0.5,20,0,3,12,7,2,20,1,1,100.0,0,0.0,15,110,43,1,2,0,2,3,14,0
Premier League,2425,Everton,Idrissa Gana Gueye,SEN,MF,35,1989.0,33.0,1758,71,419,1020,330,21,1758,36,17,47.2,17,47.2,834,3880,1703,27,27,4,32,36,1016,24
Premier League,2425,Everton,Iliman Ndiaye,SEN,FW,25,2000.0,26.2,1047,34,207,435,453,81,1045,139,64,46.0,64,46.0,599,4650,2290,83,43,31,51,43,650,120
Premier League,2425,Everton,Jack Harrison,ENG,FW,28,1996.0,22.1,919,32,148,326,453,67,919,74,23,31.1,43,58.1,509,3068,1602,71,35,16,52,40,594,123
Premier League,2425,Everton,Jake O'Brien,IRL,DF,24,2001.0,16.5,863,76,346,381,139,22,863,10,4,40.0,5,50.0,381,1710,831,7,6,2,5,5,469,25
Premier League,2425,Everton,James Garner,ENG,"MF,DF",24,2001.0,16.7,939,39,220,490,237,13,939,18,6,33.3,12,66.7,460,2065,762,12,18,1,15,9,530,29
Premier League,2425,Everton,James Tarkowski,ENG,DF,32,1992.0,32.5,1706,355,974,635,106,57,1706,7,5,71.4,2,28.6,727,3610,1943,9,10,0,13,7,927,3
Premier League,2425,Everton,Jarrad Branthwaite,ENG,DF,22,2002.0,27.9,1520,211,783,676,69,28,1520,6,3,50.0,2,33.3,747,4143,2515,10,14,2,8,4,894,2
Premier League,2425,Everton,Jesper Lindstrøm,DEN,FW,25,2000.0,13.8,625,22,127,206,303,40,625,43,8,18.6,31,72.1,302,1627,780,30,19,7,31,24,347,81
Premier League,2425,Everton,Jordan Pickford,ENG,GK,31,1994.0,37.0,1655,1074,1587,69,0,0,1655,0,0,0.0,0,0.0,956,5787,3432,0,0,0,2,0,845,0
Premier League,2425,Everton,Mason Holgate,ENG,"FW,DF",28,1996.0,0.1,3,0,0,2,1,0,3,0,0,0.0,0,0.0,1,0,0,0,0,0,1,0,1,0
Premier League,2425,Everton,Michael Keane,ENG,DF,32,1993.0,10.7,479,98,273,186,22,17,479,1,0,0.0,1,100.0,213,846,279,1,1,0,1,2,267,3
Premier League,2425,Everton,Nathan Patterson,SCO,DF,23,2001.0,3.9,215,11,52,90,75,5,215,12,9,75.0,2,16.7,95,420,216,6,5,2,4,2,117,18
Premier League,2425,Everton,Orel Mangala,BEL,MF,27,1998.0,14.0,621,22,133,335,157,13,621,24,14,58.3,9,37.5,298,1574,576,6,6,3,12,12,406,19
Premier League,2425,Everton,Roman Dixon,ENG,DF,20,2004.0,1.0,36,8,19,14,4,0,36,3,0,0.0,3,100.0,16,107,48,0,0,0,2,0,13,1
Premier League,2425,Everton,Séamus Coleman,IRL,DF,36,1988.0,2.4,121,12,42,54,26,3,121,5,4,80.0,1,20.0,54,310,177,1,2,0,1,1,68,7
Premier League,2425,Everton,Tim Iroegbunam,ENG,MF,21,2003.0,6.4,269,24,89,127,60,12,269,20,8,40.0,8,40.0,127,744,379,8,10,2,11,18,113,9
Premier League,2425,Everton,Vitaliy Mykolenko,UKR,DF,25,1999.0,33.2,1641,122,512,698,443,32,1641,20,8,40.0,9,45.0,683,2783,1494,33,28,1,22,11,837,98
Premier League,2425,Everton,Youssef Chermiti,POR,"FW,MF",21,2004.0,0.5,15,0,0,6,9,3,15,1,1,100.0,0,0.0,7,21,2,0,0,0,0,1,13,6
Premier League,2425,Fulham,Adama Traoré,ESP,"FW,MF",29,1996.0,18.9,775,4,77,276,444,89,775,96,48,50.0,35,36.5,521,4538,2422,99,45,33,35,23,588,156
Premier League,2425,Fulham,Alex Iwobi,NGA,"FW,MF",29,1996.0,32.8,1830,33,241,734,881,114,1830,92,46,50.0,41,44.6,1291,7842,4286,141,104,37,62,39,1424,237
Premier League,2425,Fulham,Andreas Pereira,BRA,MF,29,1996.0,21.7,1130,19,162,461,525,42,1129,30,14,46.7,8,26.7,573,2759,1339,29,38,9,27,21,669,80
Premier League,2425,Fulham,Antonee Robinson,USA,DF,27,1997.0,34.2,2464,133,797,927,775,68,2464,81,37,45.7,33,40.7,1313,7247,4172,117,60,30,43,18,1474,269
Premier League,2425,Fulham,Bernd Leno,GER,GK,33,1992.0,37.0,1439,1153,1427,12,0,0,1439,0,0,0.0,0,0.0,934,3866,2170,0,0,0,0,0,838,0
Premier League,2425,Fulham,Calvin Bassey,NGA,DF,25,1999.0,34.2,2463,324,1205,1151,132,19,2463,33,15,45.5,11,33.3,1571,8212,4940,39,20,5,34,8,1716,15
Premier League,2425,Fulham,Carlos Vinícius,BRA,"MF,FW",30,1995.0,0.2,7,0,1,3,3,2,7,1,1,100.0,0,0.0,7,24,11,1,0,1,1,0,6,3
Premier League,2425,Fulham,Emile Smith Rowe,ENG,MF,24,2000.0,22.4,1199,20,163,579,467,58,1199,35,16,45.7,16,45.7,772,3718,1930,53,40,12,35,18,920,123
Premier League,2425,Fulham,Harrison Reed,ENG,MF,30,1995.0,1.2,78,2,11,28,40,5,78,2,0,0.0,1,50.0,31,95,27,1,1,0,2,2,38,7
Premier League,2425,Fulham,Harry Wilson,WAL,"FW,MF",28,1997.0,12.2,568,10,76,193,309,56,568,24,9,37.5,10,41.7,329,1761,770,18,18,9,17,6,376,94
