league,season,team,player,nation,position,age,born_year,90s,tackles,tackles_won,tackles_defensive_third,tackles_middle_third,tackles_offensive_third,dribblers_tackled,dribblers_tackled_attempted,perc_dribblers_tackled,dribblers_tackled_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_and_interceptions,clearances,errors
La Liga,2425,Betis,Ezequiel Ávila,ARG,FW,31,1994.0,7.5,8,3,2,2,4,4,10,40.0,6,4,0,4,2,10,8,0
La Liga,2425,Betis,Fran Vieites,ESP,GK,26,1999.0,4.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
La Liga,2425,Betis,Giovani Lo Celso,ARG,"MF,FW",29,1996.0,16.2,34,22,8,17,9,17,25,68.0,8,14,2,12,5,39,3,1
La Liga,2425,Betis,Héctor Bellerín,ESP,DF,30,1995.0,6.4,13,7,7,4,2,10,17,58.8,7,5,3,2,6,19,21,0
La Liga,2425,Betis,Iker Losada,ESP,"MF,FW",23,2001.0,3.7,10,7,2,4,4,5,10,50.0,5,2,0,2,3,13,2,0
La Liga,2425,Betis,Isco,ESP,MF,33,1992.0,17.2,20,13,3,13,4,7,28,25.0,21,10,0,10,11,31,7,0
La Liga,2425,Betis,Jesus Rodríguez,ESP,FW,19,2005.0,12.3,17,14,6,7,4,5,18,27.8,13,16,0,16,6,23,3,0
La Liga,2425,Betis,Johnny Cardoso,USA,MF,23,2001.0,23.8,55,31,12,35,8,20,52,38.5,32,27,12,15,48,103,64,1
La Liga,2425,Betis,Juanmi,ESP,"FW,MF",32,1993.0,2.7,7,4,3,3,1,4,6,66.7,2,4,0,4,1,8,4,0
La Liga,2425,Betis,Marc Bartra,ESP,DF,34,1991.0,23.3,34,19,20,14,0,14,25,56.0,11,41,25,16,32,66,148,0
La Liga,2425,Betis,Marc Roca,ESP,MF,28,1996.0,10.1,20,14,10,9,1,9,17,52.9,8,17,5,12,14,34,14,2
La Liga,2425,Betis,Mateo Flores,ESP,MF,21,2004.0,1.7,3,1,3,0,0,1,1,100.0,0,1,0,1,2,5,3,0
La Liga,2425,Betis,Nabil Fekir,FRA,MF,31,1993.0,2.0,3,2,1,1,1,1,2,50.0,1,2,0,2,0,3,0,0
La Liga,2425,Betis,Natan,BRA,DF,24,2001.0,24.2,35,24,24,9,2,26,30,86.7,4,24,14,10,28,63,123,2
La Liga,2425,Betis,Nobel Mendy,FRA,DF,20,2004.0,1.2,0,0,0,0,0,0,0,0.0,0,2,0,2,4,4,10,1
La Liga,2425,Betis,Pablo Fornals,ESP,"MF,FW",29,1996.0,20.3,21,13,12,6,3,10,30,33.3,20,24,4,20,24,45,15,1
La Liga,2425,Betis,Pablo Garcia,ESP,FW,18,2006.0,0.4,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0
La Liga,2425,Betis,Ricardo Rodríguez,SUI,DF,32,1992.0,14.2,28,15,16,5,7,17,26,65.4,9,10,1,9,8,36,51,0
La Liga,2425,Betis,Rodri,ESP,FW,25,2000.0,1.3,2,1,1,1,0,1,2,50.0,1,2,1,1,1,3,1,1
La Liga,2425,Betis,Romain Perraud,FRA,DF,27,1997.0,22.2,36,22,15,16,5,21,46,45.7,25,18,4,14,22,58,71,1
La Liga,2425,Betis,Rui Silva,POR,GK,31,1994.0,15.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,7,0
La Liga,2425,Betis,Sergi Altimira,ESP,MF,23,2001.0,21.9,61,37,17,38,6,36,60,60.0,24,28,1,27,23,84,43,3
La Liga,2425,Betis,Sergio Arribas,ESP,DF,22,2003.0,1.0,7,4,4,3,0,6,7,85.7,1,2,2,0,3,10,4,0
La Liga,2425,Betis,Vitor Roque,BRA,FW,20,2005.0,13.7,11,6,1,6,4,1,5,20.0,4,5,0,5,7,18,4,0
La Liga,2425,Betis,William Carvalho,POR,MF,33,1992.0,5.4,9,6,3,6,0,4,6,66.7,2,6,2,4,3,12,6,0
La Liga,2425,Betis,Youssouf Sabaly,SEN,DF,32,1993.0,17.6,40,25,21,15,4,24,32,75.0,8,21,4,17,13,53,40,0
La Liga,2425,Betis,Ángel Ortíz,ESP,DF,20,2004.0,3.9,12,8,8,3,1,8,17,47.1,9,6,0,6,5,17,7,0
La Liga,2425,Celta Vigo,Alfon,ESP,"FW,MF",26,1999.0,14.4,7,3,3,2,2,3,11,27.3,8,7,0,7,4,11,5,1
La Liga,2425,Celta Vigo,Anastasios Douvikas,GRE,FW,25,1999.0,7.8,9,4,2,6,1,3,6,50.0,3,5,2,3,3,12,6,0
La Liga,2425,Celta Vigo,Borja Iglesias,ESP,FW,32,1993.0,20.9,10,9,2,5,3,4,14,28.6,10,8,2,6,6,16,9,0
La Liga,2425,Celta Vigo,Carl Starfelt,SWE,DF,29,1995.0,25.2,40,20,25,14,1,18,27,66.7,9,29,21,8,31,71,129,3
La Liga,2425,Celta Vigo,Carlos Dominguez,ESP,DF,24,2001.0,12.1,23,11,14,9,0,15,21,71.4,6,13,8,5,9,32,74,1
La Liga,2425,Celta Vigo,Damián Rodríguez,ESP,MF,22,2003.0,10.3,14,9,3,10,1,6,16,37.5,10,6,1,5,7,21,13,0
La Liga,2425,Celta Vigo,Fer López,0,"FW,MF",nan,0.0,7.4,9,5,1,6,2,2,13,15.4,11,9,0,9,2,11,7,0
La Liga,2425,Celta Vigo,Fran Beltrán,ESP,MF,26,1999.0,25.9,47,34,23,19,5,21,52,40.4,31,25,6,19,26,73,34,4
La Liga,2425,Celta Vigo,Franco Cervi,ARG,"FW,MF",30,1994.0,3.0,8,3,2,6,0,3,8,37.5,5,4,0,4,8,16,7,0
La Liga,2425,Celta Vigo,Hugo Sotelo,ESP,MF,21,2003.0,13.9,28,17,8,10,10,13,30,43.3,17,9,1,8,5,33,9,1
La Liga,2425,Celta Vigo,Hugo Álvarez,ESP,"MF,DF",21,2003.0,17.5,26,9,12,10,4,10,19,52.6,9,19,2,17,8,34,29,1
La Liga,2425,Celta Vigo,Iago Aspas,ESP,"FW,MF",37,1987.0,18.5,13,8,4,5,4,8,20,40.0,12,17,1,16,7,20,5,0
La Liga,2425,Celta Vigo,Iker Losada,ESP,"FW,MF",23,2001.0,4.0,3,3,0,1,2,1,5,20.0,4,4,1,3,1,4,8,0
La Liga,2425,Celta Vigo,Ilaix Moriba,GUI,MF,22,2003.0,22.7,64,39,21,30,13,30,54,55.6,24,28,4,24,13,77,32,1
La Liga,2425,Celta Vigo,Iván Villar,ESP,GK,27,1997.0,4.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0
La Liga,2425,Celta Vigo,Jailson Siqueira,BRA,"DF,MF",29,1995.0,6.8,13,11,9,3,1,9,11,81.8,2,6,4,2,9,22,28,1
La Liga,2425,Celta Vigo,Javi Rodríguez,ESP,DF,21,2003.0,26.9,52,37,35,17,0,33,47,70.2,14,29,10,19,32,84,95,1
La Liga,2425,Celta Vigo,Javier Manquillo,ESP,DF,31,1994.0,5.7,7,5,4,3,0,2,10,20.0,8,5,3,2,7,14,14,0
La Liga,2425,Celta Vigo,Jonathan Bamba,CIV,"FW,MF",29,1996.0,9.0,12,7,4,6,2,5,12,41.7,7,6,0,6,5,17,6,0
La Liga,2425,Celta Vigo,Joseph Aidoo,GHA,DF,29,1995.0,0.0,1,0,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0
La Liga,2425,Celta Vigo,Luca de la Torre,USA,MF,27,1998.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
La Liga,2425,Celta Vigo,Marcos Alonso,ESP,DF,34,1990.0,28.4,33,20,18,12,3,24,43,55.8,19,22,7,15,34,67,124,4
La Liga,2425,Celta Vigo,Mihailo Ristić,SRB,"DF,MF",29,1995.0,4.7,6,6,4,2,0,4,6,66.7,2,1,0,1,1,7,18,0
La Liga,2425,Celta Vigo,Pablo Durán,ESP,"FW,MF",23,2001.0,15.3,15,9,4,7,4,4,15,26.7,11,12,3,9,8,23,18,0
La Liga,2425,Celta Vigo,Sergio Carreira,ESP,"MF,DF",24,2000.0,17.4,28,16,16,6,6,14,25,56.0,11,19,2,17,17,45,37,0
La Liga,2425,Celta Vigo,Tadeo Allende,ARG,FW,26,1999.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
La Liga,2425,Celta Vigo,Vicente Guaita,ESP,GK,38,1987.0,33.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,21,2
La Liga,2425,Celta Vigo,Williot Swedberg,SWE,"FW,MF",21,2004.0,14.8,23,16,9,10,4,13,20,65.0,7,12,1,11,3,26,10,1
La Liga,2425,Celta Vigo,Yoel Lago,ESP,DF,21,2004.0,6.5,12,8,8,3,1,7,9,77.8,2,5,4,1,4,16,30,0
La Liga,2425,Celta Vigo,Óscar Mingueza,ESP,"MF,DF",26,1999.0,29.4,37,23,20,12,5,25,67,37.3,42,34,5,29,21,58,46,6
La Liga,2425,Espanyol,Alejo Véliz,ARG,FW,21,2003.0,12.1,1,1,0,1,0,1,6,16.7,5,11,2,9,4,5,22,1
La Liga,2425,Espanyol,Alex Král,CZE,MF,27,1998.0,29.8,55,37,28,24,3,16,29,55.2,13,34,14,20,28,83,50,2
La Liga,2425,Espanyol,Antoniu,ESP,"FW,MF",22,2002.0,11.4,21,10,9,8,4,9,21,42.9,12,14,2,12,8,29,11,1
La Liga,2425,Espanyol,Brian Oliván,ESP,DF,31,1994.0,11.3,13,10,7,6,0,4,13,30.8,9,6,2,4,10,23,23,0
La Liga,2425,Espanyol,Carlos Romero,ESP,DF,23,2001.0,27.4,66,43,45,14,7,41,78,52.6,37,49,14,35,29,95,99,1
La Liga,2425,Espanyol,Edu Expósito,ESP,MF,28,1996.0,11.0,23,13,9,13,1,9,22,40.9,13,3,0,3,14,37,21,2
La Liga,2425,Espanyol,Fernando Calero,ESP,"DF,MF",29,1995.0,6.9,16,9,12,4,0,6,10,60.0,4,14,8,6,15,31,41,1
La Liga,2425,Espanyol,Irvin Cardona,FRA,"FW,MF",27,1997.0,6.7,8,5,2,4,2,6,16,37.5,10,5,1,4,4,12,10,0
La Liga,2425,Espanyol,Javi Puado,ESP,"FW,MF",26,1998.0,32.0,21,16,13,4,4,8,19,42.1,11,15,2,13,5,26,19,0
La Liga,2425,Espanyol,Joan García,ESP,GK,24,2001.0,37.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,18,4
La Liga,2425,Espanyol,Jofre,ESP,"MF,FW",23,2001.0,23.5,22,16,14,5,3,13,23,56.5,10,13,0,13,15,37,29,0
La Liga,2425,Espanyol,José Gragera,ESP,MF,24,2000.0,6.3,25,16,11,14,0,9,17,52.9,8,9,1,8,5,30,13,0
La Liga,2425,Espanyol,Justin Smith,CAN,MF,22,2003.0,2.3,9,3,3,6,0,4,6,66.7,2,5,1,4,4,13,3,0
La Liga,2425,Espanyol,Leandro Cabrera,URU,DF,33,1991.0,30.9,39,22,28,8,3,18,32,56.3,14,35,25,10,30,69,195,2
La Liga,2425,Espanyol,Marash Kumbulla,ALB,DF,25,2000.0,33.0,51,26,35,14,2,24,41,58.5,17,48,35,13,34,85,224,2
La Liga,2425,Espanyol,Naci Ünüvar,NED,"MF,DF",21,2003.0,0.3,2,2,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0
La Liga,2425,Espanyol,Omar El Hilali,MAR,DF,21,2003.0,34.0,110,79,80,24,6,63,93,67.7,30,53,13,40,45,155,141,2
La Liga,2425,Espanyol,Pere Milla,ESP,"MF,FW",32,1992.0,4.6,6,2,5,0,1,1,15,6.7,14,10,2,8,3,9,4,0
La Liga,2425,Espanyol,Pol Lozano,ESP,MF,25,1999.0,21.1,53,34,23,25,5,25,56,44.6,31,31,6,25,21,74,31,0
La Liga,2425,Espanyol,Rafael Bauza,ESP,MF,20,2005.0,2.0,5,3,3,1,1,4,7,57.1,3,3,1,2,0,5,5,0
La Liga,2425,Espanyol,Roberto Férnandez,ESP,FW,22,2002.0,15.8,4,4,2,1,1,0,5,0.0,5,8,1,7,3,7,26,0
La Liga,2425,Espanyol,Roger Hinojo,ESP,DF,20,2005.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
La Liga,2425,Espanyol,Sergi Gómez,ESP,DF,33,1992.0,7.2,8,5,7,1,0,2,3,66.7,1,12,8,4,7,15,36,0
La Liga,2425,Espanyol,Urko González,ESP,MF,24,2001.0,14.4,42,25,24,17,1,25,40,62.5,15,27,12,15,8,50,36,1
La Liga,2425,Espanyol,Walid Cheddira,MAR,FW,27,1998.0,7.1,5,0,1,1,3,0,1,0.0,1,4,0,4,1,6,6,0
La Liga,2425,Espanyol,Álvaro Aguado,ESP,MF,29,1996.0,4.8,4,2,2,2,0,2,8,25.0,6,6,1,5,4,8,5,1
La Liga,2425,Espanyol,Álvaro Tejero,ESP,"MF,DF",28,1996.0,13.8,14,4,7,6,1,7,23,30.4,16,9,1,8,13,27,34,1
La Liga,2425,Getafe,Abdoulaye Keita,ESP,"FW,MF",22,2002.0,1.1,2,2,0,1,1,2,4,50.0,2,1,0,1,0,2,3,0
La Liga,2425,Getafe,Alberto Risco,ESP,"MF,FW",19,2005.0,0.8,4,4,2,0,2,1,6,16.7,5,2,0,2,0,4,0,0
La Liga,2425,Getafe,Alex Sola,ESP,"MF,FW",25,1999.0,11.4,21,14,9,12,0,9,25,36.0,16,8,0,8,7,28,11,1
La Liga,2425,Getafe,Allan Nyom,CMR,"DF,MF",37,1988.0,8.9,15,9,5,9,1,12,14,85.7,2,4,2,2,4,19,21,0
La Liga,2425,Getafe,Bertuğ Yıldırım,TUR,FW,22,2002.0,11.9,10,5,0,7,3,2,7,28.6,5,13,2,11,1,11,16,0
La Liga,2425,Getafe,Borja Mayoral,ESP,FW,28,1997.0,11.5,5,4,2,2,1,3,8,37.5,5,4,0,4,1,6,6,0
La Liga,2425,Getafe,Carles Aleñá,ESP,"MF,FW",27,1998.0,5.0,6,3,2,3,1,4,13,30.8,9,9,1,8,0,6,7,0
La Liga,2425,Getafe,Carles Pérez,ESP,"MF,FW",27,1998.0,15.9,33,23,11,14,8,21,48,43.8,27,19,2,17,6,39,22,0
La Liga,2425,Getafe,Christantus Uche,NGA,"FW,MF",22,2003.0,26.7,31,20,6,18,7,8,17,47.1,9,19,2,17,10,41,19,0
La Liga,2425,Getafe,Coba da Costa,ESP,"MF,FW",22,2002.0,11.1,29,13,9,16,4,13,26,50.0,13,24,0,24,8,37,10,0
La Liga,2425,Getafe,David Argüelles,ESP,MF,23,2002.0,0.1,0,0,0,0,0,0,0,0.0,0,2,0,2,0,0,0,0
La Liga,2425,Getafe,David Soria,ESP,GK,32,1993.0,37.0,4,4,4,0,0,4,5,80.0,1,0,0,0,1,5,20,3
La Liga,2425,Getafe,Diego Rico,ESP,DF,32,1993.0,30.3,80,48,46,29,5,47,83,56.6,36,40,3,37,33,113,100,2
La Liga,2425,Getafe,Djené,TOG,"DF,MF",33,1991.0,27.3,25,13,12,11,2,12,31,38.7,19,18,8,10,21,46,104,3
La Liga,2425,Getafe,Domingos Duarte,POR,DF,30,1995.0,19.7,26,13,20,4,2,15,19,78.9,4,27,16,11,15,41,145,1
La Liga,2425,Getafe,Gorka Rivera Alonso,ESP,"DF,MF",20,2004.0,0.2,2,0,0,2,0,2,2,100.0,0,0,0,0,0,2,0,0
La Liga,2425,Getafe,Iglesias,ESP,DF,26,1998.0,31.1,81,47,42,33,6,46,89,51.7,43,46,7,39,48,129,128,1
La Liga,2425,Getafe,Ismael Bekhoucha,MAR,"MF,DF",20,2004.0,0.4,0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,1,0
La Liga,2425,Getafe,Jesús Santiago,ESP,MF,20,2004.0,3.6,14,8,6,8,0,5,9,55.6,4,6,2,4,1,15,3,0
La Liga,2425,Getafe,John Joe,IRL,"MF,FW",21,2003.0,0.5,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,1,0
La Liga,2425,Getafe,Juan Bernat,ESP,"MF,DF",32,1993.0,7.8,19,13,9,5,5,7,12,58.3,5,9,3,6,2,21,12,0
La Liga,2425,Getafe,Juan Berrocal,ESP,DF,26,1999.0,11.3,14,7,10,4,0,10,14,71.4,4,6,3,3,13,27,56,0
La Liga,2425,Getafe,Juanmi,ESP,"FW,MF",32,1993.0,7.4,14,11,4,7,3,6,16,37.5,10,6,0,6,2,16,3,0
La Liga,2425,Getafe,Luis Milla,ESP,MF,30,1994.0,31.9,61,40,28,25,8,35,72,48.6,37,25,0,25,24,85,28,3
La Liga,2425,Getafe,Mauro Arambarri,URU,MF,29,1995.0,28.9,45,26,9,31,5,21,47,44.7,26,34,6,28,14,59,44,0
La Liga,2425,Getafe,Nabil Aberdin,FRA,MF,22,2002.0,2.9,6,4,3,3,0,1,1,100.0,0,3,0,3,0,6,5,0
La Liga,2425,Getafe,Omar Alderete,PAR,DF,28,1996.0,33.0,43,29,30,11,2,20,30,66.7,10,38,22,16,40,83,241,1
La Liga,2425,Getafe,Peter González,DOM,"MF,FW",22,2002.0,5.3,11,6,2,5,4,6,9,66.7,3,8,0,8,2,13,5,0
La Liga,2425,Getafe,Ramón Terrats,ESP,"MF,FW",24,2000.0,12.9,20,10,7,8,5,8,27,29.6,19,9,2,7,7,27,15,0
La Liga,2425,Getafe,Álvaro Rodríguez,URU,FW,20,2004.0,9.5,10,7,0,7,3,5,10,50.0,5,23,0,23,3,13,12,0
La Liga,2425,Girona,Abel Ruiz,ESP,FW,25,2000.0,14.8,6,2,2,2,2,2,5,40.0,3,7,2,5,5,11,7,0
La Liga,2425,Girona,Alejandro Francés,ESP,DF,22,2002.0,12.3,35,24,21,13,1,27,39,69.2,12,16,7,9,16,51,46,0
La Liga,2425,Girona,Arnau Martinez,ESP,"DF,MF",22,2003.0,28.2,51,28,30,15,6,32,61,52.5,29,17,6,11,29,80,75,2
La Liga,2425,Girona,Arnaut Danjuma,NED,"FW,MF",28,1997.0,14.8,8,6,3,3,2,2,7,28.6,5,5,1,4,2,10,4,0
La Liga,2425,Girona,Arthur Melo,BRA,MF,28,1996.0,9.7,25,11,8,12,5,14,26,53.8,12,5,1,4,7,32,11,1
La Liga,2425,Girona,Bojan Miovski,MKD,FW,25,1999.0,9.7,7,5,2,2,3,2,7,28.6,5,4,0,4,2,9,7,0
La Liga,2425,Girona,Bryan Gil,ESP,"FW,MF",24,2001.0,19.1,34,20,10,15,9,14,30,46.7,16,24,0,24,10,44,9,4
La Liga,2425,Girona,Cristhian Stuani,URU,FW,38,1986.0,11.0,9,7,1,7,1,5,8,62.5,3,4,1,3,5,14,9,0
La Liga,2425,Girona,Daley Blind,NED,DF,35,1990.0,29.9,47,25,24,19,4,30,47,63.8,17,30,8,22,29,76,90,1
La Liga,2425,Girona,David López,ESP,DF,35,1989.0,27.0,32,24,22,7,3,18,31,58.1,13,22,12,10,14,46,111,2
La Liga,2425,Girona,Donny van de Beek,NED,MF,28,1997.0,15.8,29,18,17,7,5,13,26,50.0,13,19,3,16,10,39,12,0
La Liga,2425,Girona,Ferrán Ruiz,ESP,MF,22,2003.0,0.2,0,0,0,0,0,0,0,0.0,0,2,1,1,1,1,0,0
La Liga,2425,Girona,Gabriel Osei Misehouy,NED,"FW,MF",19,2005.0,2.9,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
La Liga,2425,Girona,Iker Almena,ESP,"FW,DF",21,2004.0,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0
La Liga,2425,Girona,Iván Martín,ESP,MF,26,1999.0,22.4,32,19,14,14,4,15,34,44.1,19,18,5,13,11,43,15,1
La Liga,2425,Girona,Jhon Solis,COL,MF,20,2004.0,5.9,13,7,3,9,1,6,14,42.9,8,13,1,12,4,17,6,1
La Liga,2425,Girona,Juanpe,ESP,DF,34,1991.0,7.8,8,5,5,3,0,6,8,75.0,2,15,10,5,8,16,54,1
La Liga,2425,Girona,Kim Minsu,KOR,"MF,FW",19,2006.0,0.2,1,0,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0
La Liga,2425,Girona,Krapyvtsov Vladyslav,UKR,GK,19,2005.0,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
La Liga,2425,Girona,Ladislav Krejčí,CZE,DF,26,1999.0,26.1,22,15,18,4,0,13,25,52.0,12,24,19,5,34,56,89,4
La Liga,2425,Girona,Miguel Gutiérrez,ESP,"DF,MF",23,2001.0,27.3,37,24,18,16,3,17,37,45.9,20,17,7,10,16,53,34,3
La Liga,2425,Girona,Oriol Romeu,ESP,MF,33,1991.0,14.9,36,23,13,18,5,14,26,53.8,12,21,7,14,12,48,20,3
La Liga,2425,Girona,Papa Ba,ESP,MF,20,2004.0,0.5,1,1,1,0,0,0,0,0.0,0,1,0,1,0,1,1,0
La Liga,2425,Girona,Pau López,ESP,GK,30,1994.0,0.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
La Liga,2425,Girona,Paulo Gazzaniga,ARG,GK,33,1992.0,35.5,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,17,3
La Liga,2425,Girona,Portu,ESP,"FW,MF",33,1992.0,8.0,13,7,5,5,3,7,10,70.0,3,8,0,8,0,13,2,0
La Liga,2425,Girona,Silvi Clúa,ESP,MF,20,2005.0,1.8,8,7,4,3,1,4,6,66.7,2,1,0,1,2,10,6,0
La Liga,2425,Girona,Viktor Tsyhankov,UKR,"FW,MF",27,1997.0,20.3,18,11,3,7,8,8,18,44.4,10,6,1,5,14,32,12,1
La Liga,2425,Girona,Yangel Herrera,VEN,MF,27,1998.0,24.3,63,38,30,26,7,30,58,51.7,28,21,5,16,31,94,49,2
La Liga,2425,Girona,Yaser Asprilla,COL,"FW,MF",21,2003.0,14.6,19,12,5,8,6,7,22,31.8,15,13,0,13,6,25,4,1
La Liga,2425,Las Palmas,Aboubacar Bassinga,CIV,MF,19,2005.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
La Liga,2425,Las Palmas,Adnan Januzaj,BEL,"FW,MF",30,1995.0,6.1,10,6,1,6,3,5,8,62.5,3,6,0,6,2,12,3,0
La Liga,2425,Las Palmas,Alberto Moleiro,ESP,"FW,MF",21,2003.0,30.2,27,12,12,14,1,18,48,37.5,30,24,0,24,18,45,8,0
La Liga,2425,Las Palmas,Andy Pelmard,FRA,DF,25,2000.0,2.3,5,0,3,2,0,4,5,80.0,1,3,1,2,2,7,20,0
La Liga,2425,Las Palmas,Benito Ramírez,ESP,"DF,MF",29,1995.0,4.8,10,5,4,6,0,9,16,56.3,7,7,3,4,1,11,14,1
La Liga,2425,Las Palmas,Daley Sinkgraven,NED,DF,29,1995.0,1.0,5,1,3,2,0,1,3,33.3,2,1,0,1,1,6,2,0
La Liga,2425,Las Palmas,Dario Essugo,POR,MF,20,2005.0,20.8,58,44,28,25,5,27,45,60.0,18,28,11,17,42,100,46,7
La Liga,2425,Las Palmas,Diego Martín,ESP,FW,21,2003.0,0.1,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0
La Liga,2425,Las Palmas,Dinko Horkaš,CRO,GK,26,1999.0,11.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,8,1
La Liga,2425,Las Palmas,Enzo Loiodice,FRA,MF,24,2000.0,6.6,13,5,8,5,0,3,10,30.0,7,4,1,3,5,18,7,2
La Liga,2425,Las Palmas,Fabio González,ESP,MF,28,1997.0,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
La Liga,2425,Las Palmas,Fábio Silva,POR,FW,22,2002.0,20.7,12,7,4,5,3,4,14,28.6,10,12,0,12,4,16,27,0
La Liga,2425,Las Palmas,Jaime Mata,ESP,"FW,MF",36,1988.0,6.4,8,2,2,6,0,3,9,33.3,6,5,1,4,3,11,9,0
La Liga,2425,Las Palmas,Jasper Cillessen,NED,GK,36,1989.0,25.9,1,0,1,0,0,1,4,25.0,3,0,0,0,0,1,11,2
La Liga,2425,Las Palmas,Javier Muñoz,ESP,"MF,DF",30,1995.0,28.8,45,35,18,17,10,16,46,34.8,30,27,4,23,31,76,39,3
La Liga,2425,Las Palmas,José Campaña,ESP,MF,31,1993.0,13.2,21,16,8,11,2,11,20,55.0,9,9,1,8,19,40,19,2
La Liga,2425,Las Palmas,Juan Herzog,ESP,DF,22,2003.0,13.7,11,11,11,0,0,9,16,56.3,7,16,10,6,17,28,81,0
La Liga,2425,Las Palmas,Kirian Rodríguez,ESP,MF,29,1996.0,19.5,33,17,12,18,3,22,43,51.2,21,22,4,18,10,43,21,0
La Liga,2425,Las Palmas,Manuel Fuster,ESP,"FW,MF",27,1997.0,10.1,19,11,5,8,6,15,27,55.6,12,13,3,10,4,23,15,0
La Liga,2425,Las Palmas,Marc Cardona,ESP,"FW,DF",29,1995.0,1.5,4,2,1,3,0,0,1,0.0,1,0,0,0,0,4,0,0
La Liga,2425,Las Palmas,Marvin,ESP,"DF,FW",24,2000.0,10.5,24,12,11,9,4,10,25,40.0,15,15,5,10,13,37,27,0
La Liga,2425,Las Palmas,Mika Mármol,ESP,DF,23,2001.0,25.7,59,28,33,24,2,34,52,65.4,18,45,14,31,38,97,117,2
La Liga,2425,Las Palmas,Oliver McBurnie,SCO,FW,28,1996.0,20.3,15,7,5,8,2,5,12,41.7,7,15,5,10,6,21,24,0
La Liga,2425,Las Palmas,Pejiño,ESP,FW,28,1996.0,0.2,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
La Liga,2425,Las Palmas,Sandro Ramírez,ESP,"FW,MF",29,1995.0,22.6,27,15,10,13,4,13,30,43.3,17,20,0,20,16,43,22,2
La Liga,2425,Las Palmas,Scott McKenna,SCO,DF,28,1996.0,26.4,21,13,16,5,0,9,12,75.0,3,36,28,8,9,30,156,2
La Liga,2425,Las Palmas,Sergio Viera,ESP,MF,20,2005.0,0.4,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
La Liga,2425,Las Palmas,Stefan Bajcetic,ESP,"MF,DF",20,2004.0,10.8,29,14,13,13,3,12,28,42.9,16,25,4,21,15,44,26,1
La Liga,2425,Las Palmas,Valentín Pezzolesi,ESP,DF,18,2007.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1
La Liga,2425,Las Palmas,Viti,ESP,DF,27,1997.0,22.0,71,46,43,21,7,31,45,68.9,14,28,7,21,27,98,61,0
La Liga,2425,Las Palmas,Álex Muñoz,ESP,DF,30,1994.0,15.7,39,29,22,16,1,21,38,55.3,17,28,11,17,16,55,69,0
La Liga,2425,Las Palmas,Álex Suárez,ESP,DF,32,1993.0,27.3,40,23,30,9,1,20,27,74.1,7,39,24,15,13,53,107,2
La Liga,2425,Leganés,Adrià Altimira,ESP,"DF,FW",24,2001.0,17.1,40,23,25,12,3,23,38,60.5,15,14,6,8,15,55,50,2
La Liga,2425,Leganés,Aritz Arambarri,ESP,DF,27,1998.0,2.0,1,1,1,0,0,1,1,100.0,0,2,2,0,3,4,8,0
La Liga,2425,Leganés,Borna Barišić,CRO,DF,32,1992.0,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
La Liga,2425,Leganés,Dani Raba,ESP,"FW,MF",29,1995.0,20.1,37,23,17,15,5,17,40,42.5,23,27,3,24,14,51,18,1
La Liga,2425,Leganés,Darko Brašanac,SRB,MF,33,1992.0,17.8,26,11,5,15,6,9,17,52.9,8,24,11,13,16,42,34,0
La Liga,2425,Leganés,Diego,ESP,FW,25,2000.0,13.0,1,1,0,0,1,1,7,14.3,6,4,1,3,2,3,11,0
La Liga,2425,Leganés,Duk,CPV,"MF,FW",25,2000.0,1.7,7,3,2,3,2,3,5,60.0,2,3,0,3,1,8,2,0
