league,season,team,player,nation,position,age,born_year,90s,goals_against,penalty_allowed,goals_freekicks,goals_cornerkicks,own_goals,xG_post_shoot,xG_post_shoot_over_shoot_on_target,difference_xG_post_shoot_goals_against,difference_xG_post_shoot_goals_against_90s,passes_over_45m_completed,passes_over_45m_attempted,perc_passes_over_45m,passes_attempted,throws_attempted,Passes_Launch%,passes_avg_length,goal_kicks_attempted,perc_goal_kicks,goal_kicks_avg_length,opponent_crosses_attempted,opponent_crosses_stopped,perc_crosses_stopped,defensive_actions_outside_area,defensive_actions_outside_area_90s,avg_distance_goal_defensive_actions
Premier League,2425,Wolves,Sam Johnstone,ENG,GK,32,1993,7.0,17,2,0,5,1,13.0,0.29,-3.0,-0.43,52,129,40.3,252,28,45.6,36.6,25,56.0,43.2,104,8,7.7,11,1.57,13.4
La Liga,2425,Alavés,Adrian Rodriguez,ESP,GK,24,2000,1.4,2,1,0,0,0,1.5,0.13,-0.5,-0.36,18,48,37.5,26,0,92.3,56.3,24,100.0,67.4,33,0,0.0,0,0.0,9.8
La Liga,2425,Alavés,Antonio Sivera,ESP,GK,28,1996,30.2,38,9,2,2,2,38.1,0.29,2.1,0.07,280,694,40.3,716,69,71.6,47.6,214,84.6,60.0,428,30,7.0,29,0.96,12.9
La Liga,2425,Alavés,Jesús Owono,EQG,GK,24,2001,5.4,7,1,0,2,0,5.4,0.37,-1.6,-0.29,46,105,43.8,126,12,55.6,43.0,36,97.2,67.5,66,6,9.1,2,0.37,8.9
La Liga,2425,Athletic Club,Alex Padilla,ESP,GK,21,2003,3.6,6,1,0,1,1,4.8,0.26,-0.2,-0.06,27,78,34.6,98,15,58.2,41.5,22,95.5,64.5,57,2,3.5,3,0.84,13.4
La Liga,2425,Athletic Club,Julen Agirrezabala,ESP,GK,24,2000,13.4,9,1,2,1,0,10.5,0.27,1.5,0.11,57,178,32.0,341,51,37.5,33.9,66,75.8,54.9,143,20,14.0,17,1.27,14.2
La Liga,2425,Athletic Club,Unai Simón,ESP,GK,27,1997,20.0,11,0,0,1,0,13.9,0.23,2.9,0.15,98,266,36.8,515,87,35.1,34.1,111,76.6,57.8,239,19,7.9,27,1.35,15.7
La Liga,2425,Atlético Madrid,Jan Oblak,SVN,GK,32,1993,36.0,30,5,1,3,2,25.6,0.19,-2.4,-0.07,109,277,39.4,670,183,24.3,30.2,277,41.2,36.7,488,28,5.7,28,0.78,14.0
La Liga,2425,Atlético Madrid,Juan Musso,ARG,GK,31,1994,1.0,0,0,0,0,0,0.1,0.08,0.1,0.08,0,5,0.0,17,5,17.6,26.6,11,18.2,24.6,10,1,10.0,0,0.0,13.5
La Liga,2425,Barcelona,Iñaki Peña,ESP,GK,26,1999,14.5,18,2,0,1,0,16.6,0.29,-1.4,-0.1,21,75,28.0,511,74,11.0,25.0,77,24.7,31.1,135,3,2.2,89,6.13,23.8
La Liga,2425,Barcelona,Marc-André ter Stegen,GER,GK,33,1992,7.5,9,1,0,1,0,6.4,0.26,-2.6,-0.34,15,31,48.4,224,40,12.1,26.5,27,14.8,32.0,83,5,6.0,13,1.74,17.0
La Liga,2425,Barcelona,Wojciech Szczęsny,POL,GK,35,1990,15.0,12,1,0,1,0,12.0,0.35,0.0,0.0,24,63,38.1,398,61,12.3,25.1,54,25.9,31.0,130,7,5.4,56,3.73,20.2
La Liga,2425,Betis,Adrián,ESP,GK,38,1987,19.0,27,1,2,5,0,26.0,0.33,-1.0,-0.05,58,178,32.6,507,91,28.0,31.2,109,33.0,33.8,257,14,5.4,16,0.84,11.7
La Liga,2425,Betis,Fran Vieites,ESP,GK,26,1999,4.0,5,0,0,0,0,4.7,0.42,-0.3,-0.09,12,54,22.2,90,16,40.0,38.0,29,62.1,46.4,65,6,9.2,4,1.0,12.8
La Liga,2425,Betis,Rui Silva,POR,GK,31,1994,15.0,18,3,0,3,1,18.4,0.3,1.4,0.1,45,144,31.3,446,70,26.0,30.8,76,36.8,35.9,194,10,5.2,31,2.07,18.9
La Liga,2425,Celta Vigo,Iván Villar,ESP,GK,27,1997,4.0,9,0,0,3,2,8.2,0.4,1.2,0.3,3,22,13.6,82,15,14.6,24.0,35,28.6,26.9,65,1,1.5,5,1.25,14.8
La Liga,2425,Celta Vigo,Vicente Guaita,ESP,GK,38,1987,33.0,47,3,0,6,0,40.3,0.3,-6.7,-0.2,65,217,30.0,716,187,18.6,27.3,228,36.8,35.5,430,25,5.8,42,1.27,14.0
La Liga,2425,Espanyol,Joan García,ESP,GK,24,2001,37.0,51,4,2,6,1,57.1,0.28,7.1,0.19,188,512,36.7,1006,191,37.7,34.7,212,62.7,48.6,655,61,9.3,35,0.95,12.0
La Liga,2425,Getafe,David Soria,ESP,GK,32,1993,37.0,37,8,0,5,0,39.5,0.29,2.5,0.07,292,774,37.7,695,66,72.7,48.7,296,90.9,61.2,463,21,4.5,37,1.0,14.7
La Liga,2425,Girona,Krapyvtsov Vladyslav,UKR,GK,19,2005,1.0,3,1,0,1,0,2.4,0.22,-0.6,-0.62,4,11,36.4,32,5,31.3,38.0,4,25.0,35.8,19,0,0.0,1,1.0,16.8
La Liga,2425,Girona,Pau López,ESP,GK,30,1994,0.5,2,0,0,0,0,1.3,0.44,-0.7,-1.33,4,9,44.4,17,2,35.3,35.8,7,42.9,38.7,17,3,17.6,1,2.0,9.8
La Liga,2425,Girona,Paulo Gazzaniga,ARG,GK,33,1992,35.5,51,2,1,5,1,45.4,0.29,-4.6,-0.13,93,298,31.2,1026,137,21.6,29.4,180,42.2,40.0,419,36,8.6,33,0.93,12.6
La Liga,2425,Las Palmas,Dinko Horkaš,CRO,GK,26,1999,11.1,17,0,0,0,1,17.7,0.34,1.7,0.15,64,165,38.8,441,45,32.2,32.6,45,51.1,43.4,132,7,5.3,16,1.45,16.5
La Liga,2425,Las Palmas,Jasper Cillessen,NED,GK,36,1989,25.9,42,4,0,4,2,44.3,0.3,4.3,0.16,124,409,30.3,820,142,39.5,34.5,179,47.5,43.1,413,13,3.1,20,0.77,14.5
