league,season,team,player,nation,position,age,born_year,90s,shot_creating_actions,shot_creating_actions_90s,play_passes_to_shot,fk_passes_to_shot,take_ons_to_shot,shot_to_shot,fouls_drawn_to_shot,defensive_actions_to_shot,goal_creating_actions,goal_creating_actions_90s,play_passes_to_goal,fk_passes_to_goal,take_ons_to_goal,shot_to_goal,fouls_drawn_to_goal,defensive_actions_to_goal
Premier League,2425,Bournemouth,Daniel Jebbison,ENG,FW,21,2003.0,1.0,5,4.95,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Bournemouth,David Brooks,WAL,"FW,MF",27,1997.0,10.0,39,3.91,33,3,2,1,0,0,2,0.2,1,0,0,1,0,0
Premier League,2425,Bournemouth,Dean Huijsen,ESP,DF,20,2005.0,26.8,43,1.6,40,1,0,1,1,0,3,0.11,3,0,0,0,0,0
Premier League,2425,Bournemouth,Enes Ünal,TUR,"FW,MF",28,1997.0,3.8,9,2.35,6,0,0,2,1,0,3,0.78,2,0,0,0,1,0
Premier League,2425,Bournemouth,Evanilson,BRA,FW,25,1999.0,24.8,58,2.34,37,0,3,9,9,0,8,0.32,2,0,1,1,4,0
Premier League,2425,Bournemouth,Illia Zabarnyi,UKR,DF,22,2002.0,33.5,28,0.83,25,1,0,0,0,2,0,0.0,0,0,0,0,0,0
Premier League,2425,Bournemouth,James Hill,ENG,DF,23,2002.0,5.0,8,1.61,5,2,0,0,0,1,1,0.2,1,0,0,0,0,0
Premier League,2425,Bournemouth,Julian Araujo,MEX,DF,23,2001.0,5.5,5,0.91,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Bournemouth,Julio Soler,ARG,"DF,FW",20,2005.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Bournemouth,Justin Kluivert,NED,"MF,FW",26,1999.0,25.0,99,3.96,71,8,7,7,5,1,11,0.44,10,0,0,0,1,0
Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,30,1994.0,30.0,4,0.13,2,2,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Bournemouth,Lewis Cook,ENG,"MF,DF",28,1997.0,33.1,89,2.69,69,18,0,2,0,0,5,0.15,2,1,0,2,0,0
Premier League,2425,Bournemouth,Luis Sinisterra,COL,"FW,MF",25,1999.0,2.6,14,5.29,11,0,1,2,0,0,1,0.38,1,0,0,0,0,0
Premier League,2425,Bournemouth,Marcos Senesi,ARG,DF,28,1997.0,11.4,16,1.4,16,0,0,0,0,0,1,0.09,1,0,0,0,0,0
Premier League,2425,Bournemouth,Marcus Tavernier,ENG,"FW,MF",26,1999.0,20.6,90,4.38,63,12,3,8,4,0,11,0.54,5,3,0,2,1,0
Premier League,2425,Bournemouth,Mark Travers,IRL,GK,26,1999.0,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Bournemouth,Max Aarons,ENG,DF,25,2000.0,1.0,2,2.09,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Bournemouth,Milos Kerkez,HUN,DF,21,2003.0,36.1,78,2.16,63,4,1,2,5,3,9,0.25,7,0,1,0,0,1
Premier League,2425,Bournemouth,Neto,BRA,GK,35,1989.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Bournemouth,Philip Billing,DEN,MF,28,1996.0,2.0,16,7.83,13,0,0,1,0,2,0,0.0,0,0,0,0,0,0
Premier League,2425,Bournemouth,Remy Rees-Dottin,ENG,FW,19,2006.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,30,1995.0,23.5,85,3.62,72,7,0,3,2,1,9,0.38,8,1,0,0,0,0
Premier League,2425,Bournemouth,Tyler Adams,USA,MF,26,1999.0,20.8,39,1.87,34,0,0,1,0,4,4,0.19,3,0,0,0,0,1
Premier League,2425,Bournemouth,Zain Silcott-Duberry,MSR,FW,19,2005.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Brentford,Ben Mee,ENG,DF,35,1989.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Brentford,Bryan Mbeumo,CMR,FW,25,1999.0,36.9,141,3.82,96,23,10,8,4,0,20,0.54,11,3,2,3,1,0
Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,31,1994.0,30.3,54,1.78,44,0,0,7,2,1,12,0.4,10,0,0,1,1,0
Premier League,2425,Brentford,Edmond-Paris Maghoma,ENG,"MF,FW",24,2001.0,1.3,4,3.03,4,0,0,0,0,0,1,0.76,1,0,0,0,0,0
Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31,1993.0,21.3,21,0.99,13,5,0,2,1,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",22,2002.0,5.1,10,1.97,7,0,1,2,0,0,1,0.2,1,0,0,0,0,0
Premier League,2425,Brentford,Frank Onyeka,NGA,MF,27,1998.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Brentford,Gustavo Nunes,BRA,"FW,MF",19,2005.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Brentford,Hákon Rafn Valdimarsson,ISL,GK,23,2001.0,1.6,2,1.24,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18,2006.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,FW",24,2001.0,33.4,70,2.1,55,0,5,3,6,1,8,0.24,6,0,0,0,2,0
Premier League,2425,Brentford,Kevin Schade,GER,FW,23,2001.0,24.6,55,2.24,33,6,6,4,5,1,9,0.37,5,0,1,3,0,0
Premier League,2425,Brentford,Kim Jisoo,KOR,DF,20,2004.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,27,1998.0,15.9,18,1.13,15,0,1,2,0,0,2,0.13,2,0,0,0,0,0
Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25,1999.0,12.2,21,1.72,18,0,1,1,1,0,2,0.16,2,0,0,0,0,0
Premier League,2425,Brentford,Mark Flekken,NED,GK,31,1993.0,35.4,10,0.28,6,4,0,0,0,0,2,0.06,0,2,0,0,0,0
Premier League,2425,Brentford,Mathias Jensen,DEN,MF,29,1996.0,9.5,40,4.23,29,10,1,0,0,0,5,0.53,2,2,1,0,0,0
Premier League,2425,Brentford,Michael Kayode,ITA,DF,20,2004.0,4.9,17,3.45,9,5,1,1,1,0,3,0.61,3,0,0,0,0,0
Premier League,2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24,2000.0,31.5,117,3.72,89,14,6,2,1,5,21,0.67,15,3,1,0,1,1
Premier League,2425,Brentford,Nathan Collins,IRL,DF,24,2001.0,37.0,30,0.81,22,2,1,3,2,0,8,0.22,4,1,0,1,2,0
Premier League,2425,Brentford,Rico Henry,ENG,DF,27,1997.0,1.1,2,1.84,2,0,0,0,0,0,1,0.92,1,0,0,0,0,0
Premier League,2425,Brentford,Ryan Trevitt,ENG,MF,22,2003.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
