league,season,team,player,nation,position,age,born_year,90s,yellow_cards,red_cards,second_yellow_card_expulsions,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,recoveries,aerial_duels_won,aerial_duels_lost,perc_aerial_duels_won
Premier League,2425,Brentford,Edmond-Paris Maghoma,ENG,"MF,FW",24,2001.0,1.3,0,0,0,2,4,0,3,1,1,0,0,0,7,1,3,25.0
Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31,1993.0,21.3,2,0,0,8,4,0,9,24,19,0,1,1,50,63,43,59.4
Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",22,2002.0,5.1,1,0,0,5,10,1,10,3,9,0,0,0,30,2,6,25.0
Premier League,2425,Brentford,Frank Onyeka,NGA,MF,27,1998.0,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0.0
Premier League,2425,Brentford,Gustavo Nunes,BRA,"FW,MF",19,2005.0,0.1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0
Premier League,2425,Brentford,Hákon Rafn Valdimarsson,ISL,GK,23,2001.0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18,2006.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,FW",24,2001.0,33.4,7,0,0,18,30,4,76,19,26,1,0,0,142,27,34,44.3
Premier League,2425,Brentford,Kevin Schade,GER,FW,23,2001.0,24.6,3,0,0,21,36,13,37,5,23,1,0,0,81,86,73,54.1
Premier League,2425,Brentford,Kim Jisoo,KOR,DF,20,2004.0,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Premier League,2425,Brentford,Kristoffer Ajer,NOR,DF,27,1998.0,15.9,5,0,0,13,6,1,14,12,18,0,0,0,42,27,23,54.0
Premier League,2425,Brentford,Mads Roerslev,DEN,DF,25,1999.0,12.2,2,0,0,6,10,0,31,4,8,0,0,0,39,10,14,41.7
Premier League,2425,Brentford,Mark Flekken,NED,GK,31,1993.0,35.4,1,0,0,0,3,0,0,0,4,0,0,0,38,4,0,100.0
