player;cluster;classification
Gabriel Suazo;1;Defensor Temerario
Jaydee Canvot;4;Defensor Regular
Logan Costa;4;Defensor Regular
Mark McKenzie;4;Defensor Regular
Rafik Messali;3;Defensor Atacante
Rasmus Nicolaisen;4;Defensor Regular
Waren Kamanzi;1;Defensor Temerario
Ümit Akdag;4;Defensor Regular
Cedric Zesiger;4;Defensor Regular
Chrislain Matsima;4;Defensor Regular
Dimitris Giannoulis;1;Defensor Temerario
Henri Koudossou;1;Defensor Temerario
Jeffrey Gouweleeuw;2;Defensor Caudillo
Keven Schlotterbeck;4;Defensor Regular
Mads Pedersen;4;Defensor Regular
Marius Wolf;3;Defensor Atacante
Maximilian Bauer;4;Defensor Regular
Noahkai Banks;2;Defensor Caudillo
Robert Gumny;1;Defensor Temerario
Alphonso Davies;0;Defensor Equilibrado
Dayot Upamecano;2;Defensor Caudillo
Eric Dier;4;Defensor Regular
Hiroki Ito;3;Defensor Atacante
Josip Stanišić;1;Defensor Temerario
Kim Min-jae;4;Defensor Regular
Konrad Laimer;0;Defensor Equilibrado
Raphaël Guerreiro;0;Defensor Equilibrado
Sacha Boey;0;Defensor Equilibrado
Bernardo;2;Defensor Caudillo
Cristian Gamboa;3;Defensor Atacante
Erhan Mašović;2;Defensor Caudillo
Felix Passlack;3;Defensor Atacante
Gerrit Holtmann;3;Defensor Atacante
Ivan Ordets;2;Defensor Caudillo
Jakov Medić;2;Defensor Caudillo
Maximilian Wittek;4;Defensor Regular
Tim Oermann;2;Defensor Caudillo
Almugera Kabar;0;Defensor Equilibrado
Daniel Svensson;1;Defensor Temerario
Emre Can;4;Defensor Regular
Julian Ryerson;1;Defensor Temerario
Nico Schlotterbeck;4;Defensor Regular
Niklas Süle;4;Defensor Regular
Ramy Bensebaini;1;Defensor Temerario
Waldemar Anton;4;Defensor Regular
Yan Couto;3;Defensor Atacante
Yannik Lührs;2;Defensor Caudillo
Arthur Theate;4;Defensor Regular
Aurele Amenda;4;Defensor Regular
Nathaniel Brown;0;Defensor Equilibrado
Niels Nkounkou;3;Defensor Atacante
Nnamdi Collins;4;Defensor Regular
Rasmus Kristensen;3;Defensor Atacante
Robin Koch;2;Defensor Caudillo
Tuta;4;Defensor Regular
Christian Günter;1;Defensor Temerario
Jordy Makengo;4;Defensor Regular
Kiliann Sildillia;3;Defensor Atacante
Lukas Kübler;1;Defensor Temerario
Matthias Ginter;2;Defensor Caudillo
Max Rosenfelder;4;Defensor Regular
Philipp Lienhart;2;Defensor Caudillo
Fabio Chiarodia;1;Defensor Temerario
Joe Scally;1;Defensor Temerario
Ko Itakura;4;Defensor Regular
Luca Netz;0;Defensor Equilibrado
Lukas Ullrich;0;Defensor Equilibrado
Marvin Friedrich;4;Defensor Regular
Nico Elvedi;1;Defensor Temerario
Stefan Lainer;1;Defensor Temerario
Benedikt Gimber;2;Defensor Caudillo
Frans Krätzig;3;Defensor Atacante
Jonas Föhrenbach;4;Defensor Regular
Marnon Busch;4;Defensor Regular
Omar Traoré;3;Defensor Atacante
Patrick Mainka;2;Defensor Caudillo
Thomas Keller;2;Defensor Caudillo
Tim Siersleben;2;Defensor Caudillo
Alexander Prass;3;Defensor Atacante
Arthur Chaves;4;Defensor Regular
David Jurásek;3;Defensor Atacante
Kevin Akpoguma;4;Defensor Regular
Leo Skiri Østigård;4;Defensor Regular
Pavel Kadeřábek;3;Defensor Atacante
Robin Hranáč;2;Defensor Caudillo
Stanley N'Soki;4;Defensor Regular
Tim Drexler;1;Defensor Temerario
Valentin Gendrey;1;Defensor Temerario
Carl Johansson;4;Defensor Regular
David Zec;2;Defensor Caudillo
Dominik Javorček;3;Defensor Atacante
Finn Porath;3;Defensor Atacante
John Tolkin;1;Defensor Temerario
Lasse Rosenboom;3;Defensor Atacante
Marco Komenda;4;Defensor Regular
Marko Ivezić;2;Defensor Caudillo
Max Geschwill;4;Defensor Regular
Patrick Erras;2;Defensor Caudillo
Timo Becker;4;Defensor Regular
Tymoteusz Puchacz;0;Defensor Equilibrado
Arthur;0;Defensor Equilibrado
Edmond Tapsoba;1;Defensor Temerario
Jeremie Frimpong;3;Defensor Atacante
Jonathan Tah;4;Defensor Regular
Mario Hermoso;1;Defensor Temerario
Nordi Mukiele;0;Defensor Equilibrado
Piero Hincapié;1;Defensor Temerario
Álex Grimaldo;0;Defensor Equilibrado
Andreas Hanche-Olsen;4;Defensor Regular
Anthony Caci;3;Defensor Atacante
Danny da Costa;4;Defensor Regular
Dominik Kohr;4;Defensor Regular
Maxim Leitsch;4;Defensor Regular
Moritz Jenz;4;Defensor Regular
Nikolas Veratschnig;3;Defensor Atacante
Phillipp Mwene;3;Defensor Atacante
Silvan Widmer;1;Defensor Temerario
Stefan Bell;2;Defensor Caudillo
Benjamin Henrichs;3;Defensor Atacante
Castello Lukeba;4;Defensor Regular
David Raum;3;Defensor Atacante
El Chadaille Bitshiabu;2;Defensor Caudillo
Kosta Nedeljković;0;Defensor Equilibrado
Lukas Klostermann;4;Defensor Regular
Lutsharel Geertruida;1;Defensor Temerario
Ridle Baku;3;Defensor Atacante
Willi Orban;2;Defensor Caudillo
Adam Dźwigała;4;Defensor Regular
David Nemeth;4;Defensor Regular
Eric Smith;4;Defensor Regular
Hauke Wahl;4;Defensor Regular
Karol Mets;2;Defensor Caudillo
Lars Ritzka;1;Defensor Temerario
Siebe Van Der Heyden;4;Defensor Regular
Ameen Al-Dakhil;4;Defensor Regular
Anrie Chase;4;Defensor Regular
Anthony Rouault;4;Defensor Regular
Finn Jeltsch;4;Defensor Regular
Josha Vagnoman;1;Defensor Temerario
Julian Chabot;4;Defensor Regular
Leonidas Stergiou;0;Defensor Equilibrado
Luca Jaquez;1;Defensor Temerario
Maximilian Mittelstädt;1;Defensor Temerario
Pascal Stenzel;4;Defensor Regular
Ramon Hendriks;1;Defensor Temerario
Christopher Trimmel;4;Defensor Regular
Danilho Doekhi;4;Defensor Regular
Diogo Leite;1;Defensor Temerario
Josip Juranović;4;Defensor Regular
Jérôme Roussillon;4;Defensor Regular
Kevin Vogt;2;Defensor Caudillo
Leopold Querfeld;4;Defensor Regular
Robert Skov;3;Defensor Atacante
