player,cluster,classification
Ramón Terrats,0,Mediocampista Goleador
Arthur Melo,4,Mediocampista Pasador
Donny van de Beek,2,Mediocampista Box to Box
Iván Martín,4,Mediocampista Pasador
Jhon Solis,0,Mediocampista Goleador
Oriol Romeu,1,Mediocampista Lector de Juego
Silvi Clúa,1,Mediocampista Lector de Juego
Yangel Herrera,2,Mediocampista Box to Box
Dario Essugo,2,Mediocampista Box to Box
Enzo Loiodice,4,Mediocampista Pasador
Javier Muñoz,0,Mediocampista Goleador
José Campaña,1,Mediocampista Lector de Juego
Kirian Rodríguez,1,Mediocampista Lector de Juego
Stefan Bajcetic,2,Mediocampista Box to Box
Darko Brašanac,2,Mediocampista Box to Box
Duk,3,Mediocampista Recuperador
Julián Chicco,2,Mediocampista Box to Box
Renato Tapia,2,Mediocampista Box to Box
Roberto López,0,Mediocampista Goleador
Seydouba Cissé,2,Mediocampista Box to Box
Yan Diomandé,5,Mediocampista Enganche
Yvan Neyou,0,Mediocampista Goleador
Óscar Rodríguez Arnaiz,2,Mediocampista Box to Box
Antonio Sánchez,2,Mediocampista Box to Box
Chiquinho,5,Mediocampista Enganche
Dani Rodríguez,2,Mediocampista Box to Box
Manu Morlanes,1,Mediocampista Lector de Juego
Omar Mascarell,0,Mediocampista Goleador
Roberto Navarro,2,Mediocampista Box to Box
Samu Costa,0,Mediocampista Goleador
Sergi Darder,0,Mediocampista Goleador
Valery Fernández,3,Mediocampista Recuperador
Aimar Oroz,0,Mediocampista Goleador
Iker Muñoz,0,Mediocampista Goleador
Jon Moncayola,2,Mediocampista Box to Box
José Arnaiz,3,Mediocampista Recuperador
Lucas Torró,2,Mediocampista Box to Box
Moi Gómez,1,Mediocampista Lector de Juego
Pablo Ibáñez,0,Mediocampista Goleador
Gerard Gumbau,1,Mediocampista Lector de Juego
Isaac Palazón Camacho,0,Mediocampista Goleador
James Rodríguez,5,Mediocampista Enganche
Pathé Ciss,1,Mediocampista Lector de Juego
Pedro Díaz,0,Mediocampista Goleador
Unai López,4,Mediocampista Pasador
Óscar Trejo,4,Mediocampista Pasador
Óscar Valentín,0,Mediocampista Goleador
Arda Güler,4,Mediocampista Pasador
Dani Ceballos,4,Mediocampista Pasador
Eduardo Camavinga,1,Mediocampista Lector de Juego
Federico Valverde,1,Mediocampista Lector de Juego
Jude Bellingham,1,Mediocampista Lector de Juego
Luka Modrić,4,Mediocampista Pasador
Ander Barrenetxea,0,Mediocampista Goleador
Beñat Turrientes,0,Mediocampista Goleador
Brais Méndez,0,Mediocampista Goleador
Luka Sučić,0,Mediocampista Goleador
Martín Zubimendi,1,Mediocampista Lector de Juego
Olasagasti,0,Mediocampista Goleador
Pablo Marín,2,Mediocampista Box to Box
Sergio Gómez,1,Mediocampista Lector de Juego
Takefusa Kubo,2,Mediocampista Box to Box
Albert Sambi Lokonga,1,Mediocampista Lector de Juego
Djibril Sow,0,Mediocampista Goleador
Juanlu Sánchez,2,Mediocampista Box to Box
Lucien Agoume,1,Mediocampista Lector de Juego
Manu Bueno,1,Mediocampista Lector de Juego
Peque,2,Mediocampista Box to Box
Saúl Ñíguez,0,Mediocampista Goleador
Diego López,0,Mediocampista Goleador
Domingos André Ribeiro Almeida,0,Mediocampista Goleador
Enzo Barrenechea,1,Mediocampista Lector de Juego
Germán Valera,5,Mediocampista Enganche
Hugo Guillamón,3,Mediocampista Recuperador
Ivan Jaime Pajuelo,3,Mediocampista Recuperador
Javier Guerra,1,Mediocampista Lector de Juego
José Luis García Vayá,1,Mediocampista Lector de Juego
Luis Rioja,0,Mediocampista Goleador
Sergi Canós,2,Mediocampista Box to Box
Anuar,2,Mediocampista Box to Box
Chuky san jose,0,Mediocampista Goleador
Darwin Machís,2,Mediocampista Box to Box
Florian Grillitsch,1,Mediocampista Lector de Juego
Iván Sánchez,2,Mediocampista Box to Box
Kike Pérez,2,Mediocampista Box to Box
Mario Martín,0,Mediocampista Goleador
Raúl Moro,2,Mediocampista Box to Box
Selim Amallah,2,Mediocampista Box to Box
Stanko Jurić,0,Mediocampista Goleador
Tamás Nikitscher,2,Mediocampista Box to Box
Víctor Meseguer,0,Mediocampista Goleador
Alex Baena,0,Mediocampista Goleador
Daniel Parejo,1,Mediocampista Lector de Juego
Denis Suárez,2,Mediocampista Box to Box
Ilias Akhomach,2,Mediocampista Box to Box
Pape Gueye,3,Mediocampista Recuperador
Pau Cabanes,3,Mediocampista Recuperador
Ramón Terrats,1,Mediocampista Lector de Juego
Santi Comesaña,1,Mediocampista Lector de Juego
Tajon Buchanan,3,Mediocampista Recuperador
Yeremi Pino,2,Mediocampista Box to Box
Haris Belkebla,2,Mediocampista Box to Box
Himad Abdelli,4,Mediocampista Pasador
Jean-Eudes Aholou,2,Mediocampista Box to Box
Marius Courcoul,0,Mediocampista Goleador
